"gridg0","group.id","month","timegroups"
"285818","S56299677",1,"before 2000"
"287749","S56287055",1,"before 2000"
"287749","S56285575",1,"before 2000"
"287749","S56276867",1,"before 2000"
"292297","S56269388",1,"before 2000"
"292947","S56263022",1,"before 2000"
"292947","S56267264",1,"before 2000"
"290998","S56272554",1,"before 2000"
"292297","S56270283",1,"before 2000"
"288400","S56297816",1,"before 2000"
"288400","S56262230",1,"before 2000"
"292947","S56264468",1,"before 2000"
"287749","S56273935",1,"before 2000"
"292947","S56265274",1,"before 2000"
"292947","S56266349",1,"before 2000"
"284531","S56300482",1,"before 2000"
"288400","S56389384",2,"before 2000"
"228599","S56389453",2,"before 2000"
"228599","S56389525",2,"before 2000"
"228600","S56390286",2,"before 2000"
"292947","S15540663",9,"before 2000"
"292947","S15540568",9,"before 2000"
"287748","S15540706",9,"before 2000"
"290997","S9787711",9,"before 2000"
"290997","G4676077",10,"before 2000"
"292297","G4676074",10,"before 2000"
"293596","G4676073",10,"before 2000"
"289698","G4676080",10,"before 2000"
"292297","G4676070",10,"before 2000"
"290997","S51604712",10,"before 2000"
"292947","G4676067",10,"before 2000"
"228597","G4676036",10,"before 2000"
"227948","G4676063",10,"before 2000"
"227948","G4676057",10,"before 2000"
"227948","G4676058",10,"before 2000"
"227948","G4676051",10,"before 2000"
"227948","G4676029",10,"before 2000"
"227948","G4676034",10,"before 2000"
"228600","G4676062",10,"before 2000"
"228600","G4676031",10,"before 2000"
"227295","G4676037",10,"before 2000"
"227298","G4676049",10,"before 2000"
"227299","G4676033",10,"before 2000"
"289698","G4676083",11,"before 2000"
"227300","G2713958",2,"before 2000"
"226000","G3337654",3,"before 2000"
"228600","G2703515",12,"before 2000"
"228597","G4676267",3,"before 2000"
"228597","G4676279",3,"before 2000"
"227948","G4676263",3,"before 2000"
"227948","G4676265",3,"before 2000"
"227948","G4676266",3,"before 2000"
"227948","G4676270",3,"before 2000"
"230552","G4676271",3,"before 2000"
"227295","G4676269",3,"before 2000"
"289698","G4676293",4,"before 2000"
"289698","G4676291",4,"before 2000"
"292293","G4676288",4,"before 2000"
"293596","G4676284",4,"before 2000"
"290997","G4676290",4,"before 2000"
"292293","G4676287",4,"before 2000"
"229899","G4676302",4,"before 2000"
"218195","G4676282",4,"before 2000"
"244833","G2733280",12,"before 2000"
"228601","G2713976",1,"before 2000"
"292947","S198227967",10,"before 2000"
"227947","G2738906",2,"before 2000"
"243550","G2736688",3,"before 2000"
"227295","G2733303",3,"before 2000"
"292297","S24502199",4,"before 2000"
"293602","S66950570",5,"before 2000"
"292297","S41812169",1,"before 2000"
"227300","G2713971",1,"before 2000"
"287125","G2891082",2,"before 2000"
"292947","S78985218",2,"before 2000"
"293596","S78988162",2,"before 2000"
"292947","S78990245",2,"before 2000"
"289698","S79021718",2,"before 2000"
"289698","S79015790",2,"before 2000"
"293596","S78998559",2,"before 2000"
"292297","S78984888",2,"before 2000"
"292947","S78984719",2,"before 2000"
"287750","S79022422",2,"before 2000"
"293601","S78990832",2,"before 2000"
"293601","S78991992",2,"before 2000"
"293600","S78997550",2,"before 2000"
"293601","S78997059",2,"before 2000"
"290998","S182125254",6,"before 2000"
"293596","S182127832",6,"before 2000"
"227298","S117968903",3,"before 2000"
"227295","G2725671",3,"before 2000"
"229213","G2736724",8,"before 2000"
"227948","G2714035",12,"before 2000"
"228597","G8057076",2,"before 2000"
"237649","G2721031",10,"before 2000"
"244833","G2733296",1,"before 2000"
"244833","G2734851",1,"before 2000"
"241598","G2725506",1,"before 2000"
"220160","G3221841",1,"before 2000"
"229898","S88042339",7,"before 2000"
"227949","S46276822",11,"before 2000"
"227949","S46273853",11,"before 2000"
"292947","S15321970",12,"before 2000"
"292296","S9781189",12,"before 2000"
"290997","S15380657",12,"before 2000"
"288401","S15380909",12,"before 2000"
"294252","S15381053",12,"before 2000"
"293601","S9792369",12,"before 2000"
"291002","S15380980",12,"before 2000"
"244833","G2734864",2,"before 2000"
"291647","S82029367",2,"before 2000"
"292948","S81849866",2,"before 2000"
"292297","S81642849",2,"before 2000"
"292297","S81610238",2,"before 2000"
"292947","S81646545",2,"before 2000"
"292946","S81651712",2,"before 2000"
"292947","S81608281",2,"before 2000"
"294251","S81822362",2,"before 2000"
"294251","S81656736",2,"before 2000"
"292943","S109743630",3,"before 2000"
"292953","S109744175",3,"before 2000"
"227295","G2733329",9,"before 2000"
"293606","G3360499",10,"before 2000"
"292297","S96587904",11,"before 2000"
"292947","S96552852",11,"before 2000"
"292953","S96587759",11,"before 2000"
"293606","S96588016",11,"before 2000"
"293606","S96588015",11,"before 2000"
"289076","G2762833",2,"before 2000"
"227948","S46252500",2,"before 2000"
"293596","S55232293",1,"before 2000"
"292947","S55232597",1,"before 2000"
"292297","S55232837",1,"before 2000"
"292297","S55233006",1,"before 2000"
"292297","S146497639",3,"before 2000"
"293596","S146495067",3,"before 2000"
"292293","S146568326",4,"before 2000"
"293591","S146509684",4,"before 2000"
"293591","S146504861",4,"before 2000"
"294241","S146507773",4,"before 2000"
"293606","S146568883",4,"before 2000"
"294891","S57281336",5,"before 2000"
"293596","S57216976",5,"before 2000"
"294891","S57253988",5,"before 2000"
"294241","S57281073",5,"before 2000"
"294241","S57252060",5,"before 2000"
"292947","S57217881",5,"before 2000"
"292947","S57217727",5,"before 2000"
"293591","S57281838",5,"before 2000"
"293606","G3361389",2,"before 2000"
"292947","S120874536",4,"before 2000"
"293606","S126269704",4,"before 2000"
"293606","S126345496",4,"before 2000"
"292297","S163419362",5,"before 2000"
"292297","S163414899",5,"before 2000"
"293596","S163416391",5,"before 2000"
"291651","S57280140",2,"before 2000"
"291651","S57264319",2,"before 2000"
"291651","S57280132",2,"before 2000"
"291651","S57279286",2,"before 2000"
"291651","S57264248",2,"before 2000"
"291651","S57264262",3,"before 2000"
"291651","S57280355",3,"before 2000"
"291651","S57279676",3,"before 2000"
"291651","S57264635",3,"before 2000"
"291651","S57264267",3,"before 2000"
"291651","S57280237",3,"before 2000"
"291651","S57279539",3,"before 2000"
"291651","S57264264",3,"before 2000"
"291651","S57264266",3,"before 2000"
"291651","S57265445",3,"before 2000"
"292947","S121936502",4,"before 2000"
"292947","S122002837",4,"before 2000"
"291651","S57266143",4,"before 2000"
"293591","S121026830",4,"before 2000"
"294242","S121153700",4,"before 2000"
"291651","S57264353",4,"before 2000"
"292947","S121487025",4,"before 2000"
"291651","S57264320",4,"before 2000"
"291651","S57279861",4,"before 2000"
"293606","S122011046",4,"before 2000"
"278639","S57264249",4,"before 2000"
"291651","S56785996",5,"before 2000"
"288430","S98309824",11,"before 2000"
"292947","S26076159",3,"before 2000"
"293606","G3357164",4,"before 2000"
"244817","G2719778",9,"before 2000"
"287119","G2891102",11,"before 2000"
"287119","G2736733",11,"before 2000"
"287121","G3219636",11,"before 2000"
"291015","S57217021",12,"before 2000"
"293606","G3356956",5,"before 2000"
"227298","S37762559",7,"before 2000"
"265645","S43058991",9,"before 2000"
"228600","S85376136",11,"before 2000"
"228597","S79852122",1,"before 2000"
"293606","G3357147",4,"before 2000"
"243550","G2736717",4,"before 2000"
"224675","S31369566",10,"before 2000"
"285175","S56787633",1,"before 2000"
"285175","S56787634",1,"before 2000"
"292950","S56787631",1,"before 2000"
"292950","S56787341",1,"before 2000"
"292951","S56787348",1,"before 2000"
"293606","S56787356",1,"before 2000"
"293600","S56787346",1,"before 2000"
"293600","S56787351",1,"before 2000"
"294904","S56787347",1,"before 2000"
"292951","S56787357",1,"before 2000"
"292953","S56787632",1,"before 2000"
"293606","G3356773",4,"before 2000"
"291010","G3219519",5,"before 2000"
"237702","S68611232",6,"before 2000"
"237649","G2723434",12,"before 2000"
"293606","G3358537",1,"before 2000"
"227949","S84825790",1,"before 2000"
"234451","S67706147",1,"before 2000"
"228600","S74722604",1,"before 2000"
"287125","S21897714",2,"before 2000"
"293606","G3356913",5,"before 2000"
"229901","S6806958",7,"2000-2006"
"287125","S21051948",12,"2000-2006"
"293606","G3359519",1,"2000-2006"
"293606","G3357118",4,"2000-2006"
"228597","S50044962",12,"2000-2006"
"288400","S6734619",1,"2000-2006"
"292947","S6734610",2,"2000-2006"
"293606","S6734616",2,"2000-2006"
"287119","S40401223",4,"2000-2006"
"289071","S118318421",4,"2000-2006"
"288399","S118229353",4,"2000-2006"
"286458","S40404949",4,"2000-2006"
"290359","S43059256",4,"2000-2006"
"294241","G6567079",11,"2000-2006"
"294241","G6567080",11,"2000-2006"
"292947","G6567081",11,"2000-2006"
"290359","G6567092",11,"2000-2006"
"289058","G6567089",11,"2000-2006"
"289058","G6567090",11,"2000-2006"
"291010","G2973857",11,"2000-2006"
"291010","G6567091",11,"2000-2006"
"293606","G6567084",11,"2000-2006"
"292953","G6567086",11,"2000-2006"
"294255","G6567082",11,"2000-2006"
"294255","G6567085",11,"2000-2006"
"292953","G6567087",11,"2000-2006"
"263047","S43086980",11,"2000-2006"
"263047","S43059424",11,"2000-2006"
"244833","G2734858",1,"2000-2006"
"263047","S43088046",2,"2000-2006"
"291010","G3219579",3,"2000-2006"
"293605","S100928800",4,"2000-2006"
"293606","S71265917",4,"2000-2006"
"293606","S71265238",4,"2000-2006"
"293606","S71267501",4,"2000-2006"
"293606","G3360578",5,"2000-2006"
"287746","S95002884",6,"2000-2006"
"291651","G6567055",11,"2000-2006"
"293595","G6567058",11,"2000-2006"
"293595","G6567063",11,"2000-2006"
"293595","G6567061",11,"2000-2006"
"292297","G6567060",11,"2000-2006"
"292297","G6567057",11,"2000-2006"
"292309","G6567072",11,"2000-2006"
"289058","G6567024",11,"2000-2006"
"289058","G6567022",11,"2000-2006"
"290360","G6567030",11,"2000-2006"
"286457","G4226530",11,"2000-2006"
"289054","G6567025",11,"2000-2006"
"292958","G6567075",11,"2000-2006"
"292958","G6567073",11,"2000-2006"
"292958","G6567071",11,"2000-2006"
"294260","G6567069",11,"2000-2006"
"294260","G2737633",11,"2000-2006"
"294256","G6567034",11,"2000-2006"
"293606","G6567033",11,"2000-2006"
"294259","G6567068",11,"2000-2006"
"294255","G6567031",11,"2000-2006"
"294260","G6567066",11,"2000-2006"
"263047","S43060908",11,"2000-2006"
"263047","S43050758",12,"2000-2006"
"263043","S43050287",12,"2000-2006"
"294241","S70028431",4,"2000-2006"
"292297","S123753344",4,"2000-2006"
"294241","S123754530",4,"2000-2006"
"292297","S47824424",4,"2000-2006"
"288398","G2725663",4,"2000-2006"
"292943","S164724252",4,"2000-2006"
"292947","S155301337",4,"2000-2006"
"294241","G2737641",4,"2000-2006"
"294255","S70027704",4,"2000-2006"
"293606","G3361451",4,"2000-2006"
"293606","G3358622",5,"2000-2006"
"293606","S123737945",5,"2000-2006"
"293606","S123737145",5,"2000-2006"
"293606","S123734675",5,"2000-2006"
"294255","S123735517",5,"2000-2006"
"294255","S123736262",5,"2000-2006"
"228597","S17748103",11,"2000-2006"
"227949","S17748066",11,"2000-2006"
"228601","S17748052",11,"2000-2006"
"261740","S43061194",12,"2000-2006"
"228600","S13119202",12,"2000-2006"
"228600","S13119223",12,"2000-2006"
