"LOCALITY.ID","group.id","month","timegroups"
"L3030691","G6567091",11,"2000-2006"
"L3030732","G6567081",11,"2000-2006"
"L3035003","G6567092",11,"2000-2006"
"L3035260","G6567089",11,"2000-2006"
"L3287978","S43086980",11,"2000-2006"
"L3287978","S43059424",11,"2000-2006"
"L3602182","G6567085",11,"2000-2006"
"L3614445","S43059256",4,"2000-2006"
"L3660877","G6567090",11,"2000-2006"
"L3831069","G6567080",11,"2000-2006"
"L3831069","G6567079",11,"2000-2006"
"L4258925","G2973857",11,"2000-2006"
"L4314674","G6567086",11,"2000-2006"
"L4314674","G6567087",11,"2000-2006"
"L5695574","G6567082",11,"2000-2006"
"L6455598","S40401223",4,"2000-2006"
"L6456224","S40404949",4,"2000-2006"
"L971646","S6734616",2,"2000-2006"
"L971649","S6734619",1,"2000-2006"
"L971659","S6734610",2,"2000-2006"
"L10160650","G6567034",11,"2000-2006"
"L10496822","G6567025",11,"2000-2006"
"L11178295","G6567055",11,"2000-2006"
"L11277996","G6567033",11,"2000-2006"
"L12937080","G6567068",11,"2000-2006"
"L16440133","S95002884",6,"2000-2006"
"L17464877","S100928800",4,"2000-2006"
"L2567411","G6567057",11,"2000-2006"
"L2567411","G6567060",11,"2000-2006"
"L2601401","G4226530",11,"2000-2006"
"L3035036","G6567061",11,"2000-2006"
"L3035036","G6567058",11,"2000-2006"
"L3035036","G6567063",11,"2000-2006"
"L3035076","G6567066",11,"2000-2006"
"L3035076","G6567069",11,"2000-2006"
"L3035076","G2737633",11,"2000-2006"
"L3231459","S71265917",4,"2000-2006"
"L3231459","S71267501",4,"2000-2006"
"L3231459","G3360578",5,"2000-2006"
"L3231459","S71265238",4,"2000-2006"
"L3287963","S43050287",12,"2000-2006"
"L3287978","S43060908",11,"2000-2006"
"L3287978","S43050758",12,"2000-2006"
"L3287978","S43088046",2,"2000-2006"
"L3513531","G6567073",11,"2000-2006"
"L3513531","G6567071",11,"2000-2006"
"L3513531","G6567075",11,"2000-2006"
"L3601585","G2734858",1,"2000-2006"
"L3660877","G6567024",11,"2000-2006"
"L3660877","G6567022",11,"2000-2006"
"L3815122","G6567030",11,"2000-2006"
"L4258925","G3219579",3,"2000-2006"
"L5552100","G6567072",11,"2000-2006"
"L5695574","G6567031",11,"2000-2006"
"L11219619","S123734675",5,"2000-2006"
"L16682563","S164724252",4,"2000-2006"
"L1984694","S13119202",12,"2000-2006"
"L1984710","S13119223",12,"2000-2006"
"L2567411","S123753344",4,"2000-2006"
"L2755184","S17748052",11,"2000-2006"
"L2755185","S17748066",11,"2000-2006"
"L3176889","S155301337",4,"2000-2006"
"L3231459","S123737945",5,"2000-2006"
"L3231459","G3361451",4,"2000-2006"
"L3231459","G3358622",5,"2000-2006"
"L3231459","S123737145",5,"2000-2006"
"L3831069","S70028431",4,"2000-2006"
"L3831069","S123754530",4,"2000-2006"
"L5695574","S70027704",4,"2000-2006"
"L5695574","S123736262",5,"2000-2006"
"L5695574","S123735517",5,"2000-2006"
"L6456449","G2725663",4,"2000-2006"
"L6479719","G2737641",4,"2000-2006"
"L6966346","S43061194",12,"2000-2006"
"L7818409","S47824424",4,"2000-2006"
"L960468","S17748103",11,"2000-2006"
"L3231459","G3359499",3,"2000-2006"
"L3287978","S36699955",2,"2000-2006"
"L3452946","S22157952",6,"2000-2006"
"L3565713","S41432647",12,"2000-2006"
"L3915579","G6739939",12,"2000-2006"
"L4258925","G2973998",3,"2000-2006"
"L6452682","S40388390",2,"2000-2006"
"L6472188","S40501037",2,"2000-2006"
"L6472188","S40500758",2,"2000-2006"
"L6630352","S41434054",12,"2000-2006"
"L10463911","S63230152",12,"2000-2006"
