scientific_name,photo_credit
Dendrocygna bicolor,Parthasarathi Chakrabarti
Dendrocygna javanica,Antony Grossy
Anser indicus,Arpit Bansal
Anser anser,Abhishek Das
Sarkidiornis melanotos,Deepal S Kalra
Tadorna ferruginea,Sharad Agrawal
Nettapus coromandelianus,Parthasarathi Chakrabarti
Spatula querquedula,Albin Jacob
Spatula clypeata,Bhaarat Vyas
Mareca strepera,Parthasarathi Chakrabarti
Mareca falcata,Rajkumar Das
Mareca penelope,Abhishek Das
Anas poecilorhyncha,Aravind AM
Anas platyrhynchos,Dr Pankaj Chibber
Anas acuta,Asheem Kumar
Anas crecca,Abhishek Das
Anas albogularis,Sriram Reddy
Marmaronetta angustirostris,Parmil Kumar
Asarcornis scutulata,Vishal Goswami
Netta rufina,Vishal Goswami
Aythya ferina,Deepal S Kalra
Aythya nyroca,Parmil Kumar
Aythya baeri,Rajkumar Das
Aythya fuligula,Parmil Kumar
Mergus merganser,Aseem Kothiala
Megapodius nicobariensis,Dr Jishnu R
Arborophila torqueola,Sriram Reddy
Arborophila mandellii,Harish Thangaraj
Arborophila rufogularis,Sharad Agrawal
Arborophila atrogularis,Tomal Gogoi 
Ithaginis cruentus,Sriram Reddy
Tragopan melanocephalus,Shashank Dalvi
Tragopan satyra,Rofikul Islam
Tragopan blythii,Arpit Bansal
Tragopan temminckii,Rofikul Islam
Lophophorus impejanus,Parmil Kumar
Lophophorus sclateri,Arpit Bansal
Pucrasia macrolopha,Rajkumar Das
Catreus wallichii,Mohit Mehta
Lophura leucomelanos,Dr Pankaj Chibber
Pavo cristatus,Sahana M
Galloperdix spadicea,Sharad Agrawal
Galloperdix lunulata,Antony Grossy
Polyplectron bicalcaratum,Vishal Goswami 
Gallus gallus,Antony Grossy
Gallus sonneratii,Sharad Agrawal
Ortygornis pondicerianus,Antony Grossy
Ortygornis gularis,Vishal Goswami 
Francolinus francolinus,Antony Grossy
Francolinus pictus,Vipul Gupta
Tetraogallus himalayensis,Avadhesh Malik
Coturnix coromandelica,Mohit Mehta
Alectoris chukar,Mohit Mehta
Perdicula asiatica,Aseem Kothiala 
Perdicula argoondah,Dinesh Ravichandran
Perdicula erythrorhyncha,Vikram S
Perdicula manipurensis,Saumitra Deshmukh
Ophrysia superciliosa,Saumitra Deshmukh
Phoenicopterus roseus,Bhaarat Vyas
Phoeniconaias minor,Deepal S Kalra
Tachybaptus ruficollis,Rahuldev Rajguru
Podiceps cristatus,Deepal S Kalra
Columba livia,Bhaarat Vyas
Columba rupestris,Aseem Kothiala
Columba leuconota,Sriram Reddy
Columba eversmanni,Sriram Reddy
Columba palumbus,Samanvitha Rao
Columba hodgsonii,Rishov Biswas
Columba pulchricollis,Rajkumar Das
Columba elphinstonii,Saswat Mishra
Columba punicea,Hari K Patibanda
Columba palumboides,Albin Jacob
Streptopelia orientalis,Vivek Vaidyanathan
Streptopelia decaocto,Lalit Mohan Bansal
Streptopelia tranquebarica,Parmil Kumar
Spilopelia chinensis,Deepal S Kalra
Spilopelia senegalensis,Jithu Vellimattom
Macropygia unchall,Dinesh Ravichandran
Macropygia rufipennis,Saswat Mishra
Chalcophaps indica,Siddhant M
Caloenas nicobarica,Manjunath Desai
Treron bicinctus,Abhishek Das
Treron affinis,Aseem Kothiala
Treron chloropterus,Saravanan Janakarajan
Treron phayrei,Parthasarathi Chakrabarti
Treron curvirostra,Parthasarathi Chakrabarti
Treron phoenicopterus,Dr Jishnu R
Treron apicauda,Antony Grossy
Treron sphenurus,Rajkumar Das
Ducula aenea,Hari K Patibanda
Ducula nicobarica,Aseem Kothiala
Ducula cuprea,Renuka Vijayaraghavan
Ducula badia,Mohit Mehta
Pterocles exustus,Antony Grossy
Pterocles indicus,Antony Grossy
Ardeotis nigriceps,Rahuldev Rajguru
Chlamydotis macqueenii,Saswat Mishra
Houbaropsis bengalensis,Aseem Kothiala
Sypheotides indicus,Arpit Bansal
Centropus andamanensis,Aseem Kothiala
Centropus sinensis,Lalit Mohan Bansal
Centropus bengalensis,Abhishek Das
Taccocua leschenaultii,Kantha Raju
Phaenicophaeus viridirostris,Albin Jacob
Phaenicophaeus tristis,Mohit Mehta
Clamator coromandus,Abhishek Das
Clamator jacobinus,Rohid Khader
Eudynamys scolopaceus,Ksheetij Pandey
Chrysococcyx maculatus,Vishal Goswami
Cacomantis sonneratii,Novelkumar MS
Cacomantis merulinus,Bharat Tiwari
Cacomantis passerinus,Rahuldev Rajguru
Surniculus dicruroides,Prashanth Mohan
Surniculus lugubris,Arpit Bansal
Hierococcyx sparverioides,Arpit Bansal
Hierococcyx varius,Ksheetij Pandey 
Cuculus poliocephalus,Albin Jacob
Cuculus micropterus,Parthasarathi Chakrabarti
Cuculus saturatus,Harshil Mehta
Cuculus canorus,Chinmay Rahane
Zoonavena sylvatica,Ayaan S
Hirundapus giganteus,Rajkumar Das
Aerodramus unicolor,Saswat Mishra
Aerodramus brevirostris,Rajkumar Das
Tachymarptis melba,Parmil Kumar
Apus leuconyx,Albin Jacob
Apus acuticauda,Rajkumar Das
Apus affinis,Parmil Kumar
Cypsiurus balasiensis,Parthasarathi Chakrabarti
Hemiprocne coronata,Vipul Gupta
Lewinia striata,Abhishek Das
Gallinula chloropus,Rajkumar Das
Fulica atra,Dr Pankaj Chibber
Porphyrio poliocephalus,Sharad Agrawal
Gallicrex cinerea,Saswat Mishra
Amaurornis phoenicurus,Parthasarathi Chakrabarti
Rallina canningi,Harshil Mehta
Zapornia fusca,Vipul Gupta
Zapornia akool,Dinesh Ravichandran
Zapornia pusilla,Sourav Biswas
Zapornia bicolor,Nilutpal Mahanta
Grus virgo,Mohit Mehta
Antigone antigone,Rahuldev Rajguru
Grus grus,Naveen Sama
Grus nigricollis,Aseem Kothiala
Burhinus indicus,Rahuldev Rajguru
Esacus recurvirostris,Parthasarathi Chakrabarti
Himantopus himantopus,Sharad Agrawal
Recurvirostra avosetta,Vipul Gupta
Ibidorhyncha struthersii,Vipul Gupta
Haematopus ostralegus,Albin Jacob
Pluvialis squatarola,Aseem Kothiala
Pluvialis fulva,Parmil Kumar
Vanellus vanellus,Ayaan S
Vanellus duvaucelii,Parmil Kumar
Vanellus malabaricus,Aravind AM
Vanellus cinereus,Parthasarathi Chakrabarti
Vanellus indicus,Aseem Kothiala
Vanellus gregarius,Arpit Bansal
Vanellus leucurus,Sharad Agrawal
Charadrius mongolus,Parthasarathi Chakrabarti
Charadrius alexandrinus,Sri Teja
Charadrius placidus,Parmil Kumar
Charadrius dubius,Vivek Vaidyanathan
Rostratula benghalensis,Sharad Agrawal
Hydrophasianus chirurgus,Sharad Agrawal
Metopidius indicus,Parthasarathi Chakrabarti
Numenius phaeopus,Albin Jacob
Numenius arquata,Mohit Mehta
Limosa lapponica,Bhaarat Vyas
Limosa limosa,Sharad Agrawal
Arenaria interpres,Ayaan S
Calidris tenuirostris,Albin Jacob
Calidris pugnax,Abhishek Das
Calidris falcinellus,Mohit Mehta
Calidris ferruginea,Mohit Mehta
Calidris temminckii,Rahuldev Rajguru
Calidris alba,Ayaan S
Calidris alpina,Albin Jacob
Calidris minuta,Rahuldev Rajguru
Gallinago gallinago,Parthasarathi Chakrabarti
Gallinago stenura,Mohit Mehta
Xenus cinereus,Parmil Kumar
Actitis hypoleucos,Aravind AM
Tringa ochropus,Rahuldev Rajguru
Tringa erythropus,Parthasarathi Chakrabarti
Tringa nebularia,Sri Teja
Tringa stagnatilis,Rahuldev Rajguru
Tringa glareola,Ajay Sarvagnam
Tringa totanus,Bhaarat Vyas
Turnix tanki,Esha Munshi
Turnix suscitator,Vipul Gupta
Dromas ardeola,Rajkumar Das
Cursorius coromandelicus,Prabhav Benara 
Rhinoptilus bitorquatus,Saumitra Deshmukh
Glareola maldivarum,Parthasarathi Chakrabarti
Glareola lactea,Albin Jacob
Chroicocephalus genei,Avadhesh Malik
Chroicocephalus ridibundus,Abhishek Das
Chroicocephalus brunnicephalus,Abhishek Das
Ichthyaetus ichthyaetus,Tanmoy Mitra
Larus fuscus,Vipul Gupta
Sternula albifrons,Ayaan S
Gelochelidon nilotica,Ksheetij Pandey
Hydroprogne caspia,Sriram Reddy
Chlidonias hybrida,Ksheetij Pandey
Sterna hirundo,Ksheetij Pandey
Sterna acuticauda,Saswat Mishra
Sterna aurantia,Parmil Kumar
Thalasseus bergii,Albin Jacob
Thalasseus sandvicensis,Sriram Reddy
Thalasseus bengalensis,Ayaan S
Rynchops albicollis,Parmil Kumar
Anastomus oscitans,Ajay Sarvagnam
Ciconia nigra,Shubham Giri
Ciconia episcopus,Dr Pankaj Chibber
Ephippiorhynchus asiaticus,Rajkumar Das
Leptoptilos javanicus,Monjul Hazarika
Leptoptilos dubius,Rahuldev Rajguru
Mycteria leucocephala,Ksheetij Pandey
Anhinga melanogaster,Rahuldev Rajguru
Microcarbo niger,Parmil Kumar
Phalacrocorax carbo,Rahuldev Rajguru
Phalacrocorax fuscicollis,Albin Jacob
Pelecanus onocrotalus,Albin Jacob
Pelecanus philippensis,Aravind AM
Pelecanus crispus,Arpit Bansal
Ixobrychus sinensis,Aravind AM
Ixobrychus cinnamomeus,Hari K Patibanda
Ixobrychus flavicollis,Vipul Gupta
Ardea cinerea,Bhaarat Vyas
Ardea insignis,Ronith Urs
Ardea goliath,Siddhartha Vatsal
Ardea purpurea,Dr Pankaj Chibber
Ardea alba,Siddhant M
Ardea intermedia,Parthasarathi Chakrabarti
Egretta garzetta,Bhaarat Vyas
Egretta gularis,Rohid Khader
Bubulcus ibis,Parmil Kumar
Ardeola grayii,Asheem Kumar
Butorides striata,Deepesh MS
Nycticorax nycticorax,Parmil Kumar
Plegadis falcinellus,Parmil Kumar
Threskiornis melanocephalus,Abhishek Das
Pseudibis papillosa,Sharad Agrawal
Platalea leucorodia,Vipul Gupta
Pandion haliaetus,Parmil Kumar
Elanus caeruleus,Jithu Vellimattom
Gypaetus barbatus,Avadhesh Malik
Neophron percnopterus,Rahuldev Rajguru
Pernis ptilorhynchus,Sri Teja
Aviceda jerdoni,Parthasarathi Chakrabarti
Aviceda leuphotes,Deepesh MS 
Sarcogyps calvus,Rajkumar Das
Aegypius monachus,Rahuldev Rajguru
Gyps bengalensis,Dr Pankaj Chibber
Gyps indicus,Hakimuddin F Saify
Gyps tenuirostris,Rofikul Islam
Gyps himalayensis,Rahuldev Rajguru
Gyps fulvus,Rahuldev Rajguru
Spilornis klossi,Dr Jishnu R
Spilornis cheela,Nirmal George
Spilornis elgini,Abhishek Das
Circaetus gallicus,Hari K Patibanda
Nisaetus cirrhatus,Bhaarat Vyas
Nisaetus nipalensis,Arpit Bansal
Nisaetus kelaarti,Renuka Vijayaraghavan
Lophotriorchis kienerii,Saravanan Janakarajan
Ictinaetus malaiensis,Jithu Vellimattom
Clanga hastata,Bhaarat Vyas
Clanga clanga,Parthasarathi Chakrabarti
Hieraaetus pennatus,Parthasarathi Chakrabarti
Aquila rapax,Siddhartha Vatsal
Aquila nipalensis,Rahuldev Rajguru
Aquila heliaca,Prabhav Benara
Aquila chrysaetos,Avadhesh Malik
Aquila fasciata,Vipul Gupta
Butastur teesa,Dr Pankaj Chibber
Circus aeruginosus,Ksheetij Pandey
Circus cyaneus,Parthasarathi Chakrabarti
Circus macrourus,Hari K Patibanda
Circus melanoleucos,Sriram Reddy
Circus pygargus,Albin Jacob
Accipiter trivirgatus,Novelkumar MS
Accipiter badius,Vivek Vaidyanathan
Accipiter butleri,Manjula Mathur 
Accipiter virgatus,Harshil Mehta
Accipiter nisus,Vipul Gupta
Milvus migrans,Ajay Sarvagnam
Haliastur indus,Jithu Vellimattom
