"eBird.English.Name.2022","eBird.Scientific.Name.2022","eBird.Code","Order","Family","SOIB.Concern.Status","SOIB.Long.Term.Status","SOIB.Current.Status","SOIB.Range.Status","Breeding.Activity.Period","Non.Breeding.Activity.Period","Diet.Guild","India.Endemic","Subcontinent.Endemic","Himalayas.Endemic","Endemic.Region","Habitat.Specialization","Migratory.Status.Within.India","Essential","Discard","India.Checklist.Common.Name","India.Checklist.Scientific.Name","BLI.Common.Name","BLI.Scientific.Name","IUCN.Category","WPA.Schedule","CITES.Appendix","CMS.Appendix","Onepercent.Estimates","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km","longtermlci","longtermmean","longtermrci","currentslopelci","currentslopemean","currentsloperci","proj2023.lci","proj2023.mean","proj2023.rci","proj2024.lci","proj2024.mean","proj2024.rci","proj2025.lci","proj2025.mean","proj2025.rci","proj2026.lci","proj2026.mean","proj2026.rci","proj2027.lci","proj2027.mean","proj2027.rci","proj2028.lci","proj2028.mean","proj2028.rci","proj2029.lci","proj2029.mean","proj2029.rci","SOIBv2.Long.Term.Status","SOIBv2.Current.Status","SOIBv2.Priority.Status"
"Fulvous Whistling-Duck","Dendrocygna bicolor","fuwduc","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Data Deficient","Uncertain","Moderate","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Resident",NA,NA,"Fulvous Whistling Duck","Dendrocygna bicolor","Fulvous Whistling-duck","Dendrocygna bicolor","Least Concern","Schedule-I","","Appendix II",500,"","X","X",177,0.0451977401129944,0.312146892655367,0.423728813559322,13.2316384180791,0.877740898485105,NA,NA,NA,-9.03744917814019,-4.08536292308808,0.866723331964038,52.4899660636199,71.7582683253571,98.7702911419149,48.2571724786228,69.7384566579024,101.741963831656,44.3286123209682,67.8088421491353,105.049873612299,40.7088312845048,65.9650596248,108.659306909957,37.3867841798852,64.2029917013478,112.556744647339,34.3447378434637,62.5187538079054,116.740542419783,31.5624893103819,60.9086802130986,121.216362016983,"eBird Data Deficient","eBird Data Indecisive","Low"
"Lesser Whistling-Duck","Dendrocygna javanica","lewduc1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Stable","Moderate Decline","Very Large","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Resident",NA,NA,"Lesser Whistling Duck","Dendrocygna javanica","Lesser Whistling-duck","Dendrocygna javanica","Least Concern","Schedule-II","","Appendix II",10000,"X","X","X",2362,0.0537679932260796,0.381138865368332,0.534292972057578,10.201100762066,0.259705111124465,91.5412676507436,108.773857967922,126.010029523038,-2.37346084769682,0.395875119061779,3.16521108582038,90.7240639804527,102.592691664043,116.15873140861,89.0425742678927,102.928240988611,119.185946912088,87.3552571119706,103.28001946907,122.391626288132,85.6826374806223,103.648197122799,125.757983243841,84.035956174799,104.032952513633,129.276797695498,82.4215052815886,104.434472902088,132.945087401789,80.8427907019165,104.852954403258,136.762953189404,"Stable","Stable","Low"
"Bar-headed Goose","Anser indicus","bahgoo","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant & Localized Summer Migrant",1,NA,"Bar-headed Goose","Anser indicus","Bar-headed Goose","Anser indicus","Least Concern","Schedule-II","","Appendix II",NA,"X","X","X",869,0.0817031070195627,0.307393555811277,0.371691599539701,11.4062140391254,0.443817974123449,51.3466045991172,63.3201281140977,78.3516944549377,-6.60046453625843,-3.37895634432255,-0.157448152386663,61.5448398707099,75.0711034954594,91.8243020346408,57.5931869837855,72.7860359105968,92.3425081547942,53.858659767179,70.5861669048783,92.9882954014383,50.3501268662224,68.4679573581059,93.7307244111355,47.0648567561301,66.4280285294629,94.5523410457944,43.9946340386613,64.463154262852,95.4429117899374,41.1287288236173,62.5702535948363,96.3963190803952,"eBird Data Indecisive","eBird Data Indecisive","Low"
"Graylag Goose","Anser anser","gragoo","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Moderate","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,NA,"Greylag Goose","Anser anser","Greylag Goose","Anser anser","Least Concern","Schedule-II","","Appendix II",250,"X","X","X",493,0.0973630831643002,0.294624746450304,0.434077079107505,11.1440162271805,0.544372210270333,37.4995864801268,67.1908086539767,126.25143049123,-10.5849658199219,0.0095000022292268,10.6039658243804,64.1902026433975,101.401995722277,163.347598891212,60.6179052521495,103.764878091413,182.532370049073,57.2904753414542,106.442189263404,205.126551048296,54.2343631300853,109.455437569795,231.636035722883,51.4501282372007,112.829203077084,262.720049719842,48.92666261043,116.591475116272,299.203499160913,46.6479602115289,120.774041703333,342.10380983308,"eBird Data Indecisive","eBird Data Indecisive","Low"
"Greater White-fronted Goose","Anser albifrons","gwfgoo","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Greater White-fronted Goose","Anser albifrons","Greater White-fronted Goose","Anser albifrons","Least Concern","Schedule-II","","Appendix II",NA,"","","",23,NA,0.201086956521739,0.347826086956522,13.5217391304348,2.78788891311226,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Lesser White-fronted Goose","Anser erythropus","lwfgoo","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"Diurnal","Diurnal","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Lesser White-fronted Goose","Anser erythropus","Lesser White-fronted Goose","Anser erythropus","Vulnerable","Schedule-II","","Appendix I",NA,"","","",11,NA,0.0909090909090909,NA,13,4.65324129456603,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Taiga Bean-Goose","Anser fabalis","taibeg1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Bean Goose","Anser fabalis","Bean Goose","Anser fabalis","Least Concern","Schedule-II","","Appendix II",NA,"","","",1,NA,NA,NA,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","tunbeg1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Bean Goose","Anser fabalis","Not at species rank","Anser fabalis serrirostris","Least Concern","Schedule-II","","Appendix II",NA,"","","",2,NA,NA,NA,15,1.96,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis","rebgoo1","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Red-breasted Goose","Branta ruficollis","Red-breasted Goose","Branta ruficollis","Vulnerable","Schedule-II","Appendix II","Appendix I",NA,"","","",3,NA,0.583333333333333,0.666666666666667,13.3333333333333,6.53333333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor","mutswa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Mute Swan","Cygnus olor","Mute Swan","Cygnus olor","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","tunswa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Tundra Swan","Cygnus columbianus","Tundra Swan","Cygnus columbianus","Least Concern","Schedule-II","","Appendix II",NA,"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","whoswa","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)",NA,NA,NA,NA,"No information","No information","Plant & Seed","No","No","No","None","Wetland","Winter Migrant",NA,1,"Whooper Swan","Cygnus cygnus","Whooper Swan","Cygnus cygnus","Least Concern","Schedule-II","","Appendix II",NA,"","","",1,NA,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","comduc2","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Moderate","Uncertain","Moderate Decline","Large","Diurnal","Diurnal","Plant & Seed","No","No","No","None","Wetland","Resident",NA,NA,"Knob-billed Duck","Sarkidiornis melanotos","African Comb Duck","Sarkidiornis melanotos","Least Concern","Schedule-II","Appendix II","Appendix II",250,"X","X","X",1186,0.0497470489038786,0.304279089376054,0.419898819561551,10.5573355817875,0.361151399781893,61.0458419782071,74.7841470157764,90.6827088152871,-4.44332345947047,-1.59058011682608,1.26216322581831,74.1238421332955,85.2811808458689,98.2707678749494,70.6061430631453,83.298235938797,98.4850788922312,67.2222376606913,81.3749221073545,98.7934757070206,63.9851244429,79.5092055335264,99.1717466904217,60.898206625754,77.699129943177,99.6059956251464,57.9600439198257,75.9428133771418,100.087846444141,55.1666928568242,74.2384451078392,100.612062367567,"eBird Data Indecisive","Stable","Low"
"Ruddy Shelduck","Tadorna ferruginea","rudshe","Anseriformes","Anatidae (Ducks, Geese, and Waterfowl)","Low","Uncertain","Uncertain","Large","24 hour","24 hour","Plant & Seed","No","No","No","None","Wetland","Winter Migrant & Localized Summer Migrant",NA,NA,"Ruddy Shelduck","Tadorna ferruginea","Ruddy Shelduck","Tadorna ferruginea","Least Concern","Schedule-II","","Appendix II",500,"X","X","X",1442,0.0887656033287101,0.324635922330097,0.438973647711512,9.79195561719833,0.301317662908491,40.0882049632477,47.692320724806,55.8089560780024,-7.26088339751839,-4.87376723160304,-2.48665106568769,55.1742826286054,63.7447531533965,73.773547640426,50.9499539010119,60.3990817496224,71.7726380541871,47.0264129098237,57.2384970205977,69.8922343407768,43.3954628392432,54.252299555949,68.1078825973278,40.0421455971095,51.4304326073854,66.404616261841,36.9489120654212,48.7634421415053,64.7725478127862,34.0975836953497,46.2424394542466,63.2046906042858,"Declining","Declining","Moderate"
