species,count,timegroups,cil,cir
Asian Openbill,24,2001,24,24
Asian Openbill,5,2002,5,5
Asian Openbill,11,2003,11,11
Asian Openbill,2,2004,2,2
Asian Openbill,0,2005,0,0
Asian Openbill,4,2006,4,4
Asian Openbill,0,2007,0,0
Asian Openbill,4,2008,4,4
Asian Openbill,6,2009,6,6
Asian Openbill,0,2010,0,0
Asian Openbill,0,2011,0,0
Asian Openbill,0,2012,0,0
Asian Openbill,14,2013,14,14
Asian Openbill,20,2014,20,20
Asian Openbill,15,2015,15,15
Asian Openbill,9,2016,9,9
Asian Openbill,17,2017,17,17
Asian Openbill,19,2018,19,19
Oriental Darter,121,2001,121,121
Oriental Darter,30,2002,30,30
Oriental Darter,56,2003,56,56
Oriental Darter,66,2004,66,66
Oriental Darter,75,2005,75,75
Oriental Darter,144,2006,144,144
Oriental Darter,169,2007,169,169
Oriental Darter,116,2008,116,116
Oriental Darter,73,2009,73,73
Oriental Darter,7,2010,7,7
Oriental Darter,9,2011,9,9
Oriental Darter,11,2012,11,11
Oriental Darter,67,2013,67,67
Oriental Darter,80,2014,80,80
Oriental Darter,29,2015,29,29
Oriental Darter,48,2016,48,48
Oriental Darter,74,2017,74,74
Oriental Darter,77,2018,77,77
Whiskered Tern,1913,2001,1913,1913
Whiskered Tern,4540,2002,4540,4540
Whiskered Tern,1006,2003,1006,1006
Whiskered Tern,370,2004,370,370
Whiskered Tern,4573,2005,4573,4573
Whiskered Tern,974,2006,974,974
Whiskered Tern,7062,2007,7062,7062
Whiskered Tern,482,2008,482,482
Whiskered Tern,688,2009,688,688
Whiskered Tern,70,2010,70,70
Whiskered Tern,44,2011,44,44
Whiskered Tern,104,2012,104,104
Whiskered Tern,1505,2013,1505,1505
Whiskered Tern,959,2014,959,959
Whiskered Tern,657,2015,657,657
Whiskered Tern,632,2016,632,632
Whiskered Tern,957,2017,957,957
Whiskered Tern,1017,2018,1017,1017
Woolly-necked Stork,0,2001,0,0
Woolly-necked Stork,0,2002,0,0
Woolly-necked Stork,0,2003,0,0
Woolly-necked Stork,0,2004,0,0
Woolly-necked Stork,0,2005,0,0
Woolly-necked Stork,0,2006,0,0
Woolly-necked Stork,0,2007,0,0
Woolly-necked Stork,0,2008,0,0
Woolly-necked Stork,0,2009,0,0
Woolly-necked Stork,0,2010,0,0
Woolly-necked Stork,0,2011,0,0
Woolly-necked Stork,0,2012,0,0
Woolly-necked Stork,8,2013,8,8
Woolly-necked Stork,3,2014,3,3
Woolly-necked Stork,3,2015,3,3
Woolly-necked Stork,1,2016,1,1
Woolly-necked Stork,9,2017,9,9
Woolly-necked Stork,9,2018,9,9
Eurasian Marsh-Harrier,4,2001,4,4
Eurasian Marsh-Harrier,0,2002,0,0
Eurasian Marsh-Harrier,30,2003,30,30
Eurasian Marsh-Harrier,16,2004,16,16
Eurasian Marsh-Harrier,9,2005,9,9
Eurasian Marsh-Harrier,9,2006,9,9
Eurasian Marsh-Harrier,11,2007,11,11
Eurasian Marsh-Harrier,10,2008,10,10
Eurasian Marsh-Harrier,7,2009,7,7
Eurasian Marsh-Harrier,0,2010,0,0
Eurasian Marsh-Harrier,1,2011,1,1
