"timegroupsf","freq","se","timegroups","species"
"before 2000",0.0581513988859671,0.00484798800729664,1992,"Cotton Pygmy-Goose"
"2000-2006",0.0352207888889488,0.00283771577072332,2003,"Cotton Pygmy-Goose"
"2007-2010",0.0353082787999992,0.00277408507076615,2009,"Cotton Pygmy-Goose"
"2011-2012",0.035881527880863,0.00294323291044834,2012,"Cotton Pygmy-Goose"
"2013",0.0331005283975908,0.00255188111455354,2013,"Cotton Pygmy-Goose"
"2014",0.0299245613599378,0.00234676258709575,2014,"Cotton Pygmy-Goose"
"2015",0.0227004123230733,0.00171490447173304,2015,"Cotton Pygmy-Goose"
"2016",0.0254125518220323,0.00192646413541158,2016,"Cotton Pygmy-Goose"
"2017",0.0217573653568048,0.00164361959678,2017,"Cotton Pygmy-Goose"
"2018",0.0233516233251294,0.00174090996468525,2018,"Cotton Pygmy-Goose"
"2019",0.0215117207360582,0.00160264659088657,2019,"Cotton Pygmy-Goose"
"2020",0.0203113630632992,0.00151983473235581,2020,"Cotton Pygmy-Goose"
"2021",0.0199879720299033,0.00144780856106535,2021,"Cotton Pygmy-Goose"
"before 2000",0.0340574268719669,0.00231049233201771,1992,"Gray-headed Swamphen"
"2000-2006",0.0432524219066516,0.00251937658179399,2003,"Gray-headed Swamphen"
"2007-2010",0.046118387314364,0.00278224626140203,2009,"Gray-headed Swamphen"
"2011-2012",0.0580071178374945,0.00359766773284511,2012,"Gray-headed Swamphen"
"2013",0.0580810923195644,0.00376129143563313,2013,"Gray-headed Swamphen"
"2014",0.0545444946950192,0.00296123837616697,2014,"Gray-headed Swamphen"
"2015",0.0408062725170234,0.00216715342828808,2015,"Gray-headed Swamphen"
"2016",0.0387698690739168,0.00206801488145489,2016,"Gray-headed Swamphen"
"2017",0.0372245113657368,0.00195462939683496,2017,"Gray-headed Swamphen"
"2018",0.0380222681281255,0.00204403957551184,2018,"Gray-headed Swamphen"
"2019",0.0364785157788347,0.00195367328054643,2019,"Gray-headed Swamphen"
"2020",0.0366830204957399,0.00191501576723521,2020,"Gray-headed Swamphen"
"2021",0.0425304200811641,0.00219783740568642,2021,"Gray-headed Swamphen"
"before 2000",0.0422170317058516,0.00694500802941425,1992,"Pacific Golden-Plover"
"2000-2006",0.0327720516954138,0.00539023848561321,2003,"Pacific Golden-Plover"
"2007-2010",0.0199139335153337,0.0034130216691444,2009,"Pacific Golden-Plover"
"2011-2012",0.0155870140998436,0.00275142561438121,2012,"Pacific Golden-Plover"
"2013",0.0150415105813712,0.00252078821757079,2013,"Pacific Golden-Plover"
"2014",0.0125695292256354,0.00198562568177961,2014,"Pacific Golden-Plover"
"2015",0.00889823927834453,0.00145569989875595,2015,"Pacific Golden-Plover"
"2016",0.011046941684937,0.0017943213176698,2016,"Pacific Golden-Plover"
"2017",0.00831763914298213,0.00136153451713408,2017,"Pacific Golden-Plover"
"2018",0.0077141051983383,0.00123631152973758,2018,"Pacific Golden-Plover"
"2019",0.00636876857091492,0.00101533836487447,2019,"Pacific Golden-Plover"
"2020",0.00925631979295286,0.00148597454515341,2020,"Pacific Golden-Plover"
"2021",0.00799623433924298,0.00128077856253708,2021,"Pacific Golden-Plover"
"before 2000",0.0384497689415757,0.00359613559469001,1992,"Bronze-winged Jacana"
"2000-2006",0.037064444649074,0.00364523212903246,2003,"Bronze-winged Jacana"
"2007-2010",0.041117947461528,0.00382687999151108,2009,"Bronze-winged Jacana"
"2011-2012",0.0527599793092058,0.00522018826903218,2012,"Bronze-winged Jacana"
"2013",0.0553662580886322,0.00493901771337046,2013,"Bronze-winged Jacana"
"2014",0.0494133449523799,0.00432430594619254,2014,"Bronze-winged Jacana"
"2015",0.0446014293716866,0.00385366717392263,2015,"Bronze-winged Jacana"
"2016",0.0428881492674081,0.00368064709951162,2016,"Bronze-winged Jacana"
"2017",0.0395621454763307,0.00350183090316089,2017,"Bronze-winged Jacana"
"2018",0.0414088323206158,0.00362551897551642,2018,"Bronze-winged Jacana"
"2019",0.0398829556056218,0.0034306338938364,2019,"Bronze-winged Jacana"
"2020",0.037502020418751,0.00322353757606318,2020,"Bronze-winged Jacana"
"2021",0.044020890306691,0.00376885341960285,2021,"Bronze-winged Jacana"
"before 2000",0.0421811004484514,0.00346499775273027,1992,"Common Greenshank"
"2000-2006",0.0459250930864063,0.0034729529000128,2003,"Common Greenshank"
"2007-2010",0.0395464335717571,0.00307767111361979,2009,"Common Greenshank"
"2011-2012",0.031158129894653,0.00267254829721373,2012,"Common Greenshank"
"2013",0.0284272149430652,0.0021927684281218,2013,"Common Greenshank"
"2014",0.0235597931996144,0.00158539040634954,2014,"Common Greenshank"
"2015",0.0214767576224853,0.00161429058838295,2015,"Common Greenshank"
"2016",0.0226706457527643,0.00156253217650605,2016,"Common Greenshank"
"2017",0.0199854171116095,0.001406362727632,2017,"Common Greenshank"
"2018",0.0182491029158324,0.00128704251773132,2018,"Common Greenshank"
"2019",0.0176399587547108,0.001197292430625,2019,"Common Greenshank"
"2020",0.0158778425144682,0.00109090020556287,2020,"Common Greenshank"
"2021",0.0152474130072961,0.00104398124734992,2021,"Common Greenshank"
"before 2000",0.0394591354394887,0.00332114073948946,1992,"Whiskered Tern"
"2000-2006",0.0403019311878484,0.00363819943419721,2003,"Whiskered Tern"
"2007-2010",0.0326932787624191,0.00299604366384531,2009,"Whiskered Tern"
"2011-2012",0.0281059323983697,0.00255312272266899,2012,"Whiskered Tern"
"2013",0.0312022706463681,0.00250938303070409,2013,"Whiskered Tern"
"2014",0.032370425839893,0.00262565977579751,2014,"Whiskered Tern"
"2015",0.0226177843596145,0.00175947731648681,2015,"Whiskered Tern"
"2016",0.0248126981176437,0.00193424361584365,2016,"Whiskered Tern"
"2017",0.0215580537607877,0.0017390490333196,2017,"Whiskered Tern"
"2018",0.0214264026234294,0.00172131481367015,2018,"Whiskered Tern"
"2019",0.0169511068795243,0.00138299568084466,2019,"Whiskered Tern"
"2020",0.0163086224457019,0.00131475442634212,2020,"Whiskered Tern"
"2021",0.0171852805369232,0.00141834717867567,2021,"Whiskered Tern"
"before 2000",0.0575098300430043,0.00365203541222586,1992,"Asian Openbill"
"2000-2006",0.0826537338922014,0.00559193483041631,2003,"Asian Openbill"
"2007-2010",0.090444291076243,0.00612713448272922,2009,"Asian Openbill"
"2011-2012",0.101082751777803,0.006279596668647,2012,"Asian Openbill"
"2013",0.113109647070833,0.00663078189974259,2013,"Asian Openbill"
"2014",0.109127999419962,0.0064364766060107,2014,"Asian Openbill"
"2015",0.0939848400128739,0.00555306390119291,2015,"Asian Openbill"
"2016",0.0900435917869551,0.00525736020182154,2016,"Asian Openbill"
"2017",0.0842693129601473,0.00485081525330178,2017,"Asian Openbill"
"2018",0.0837440602037223,0.00481458075889873,2018,"Asian Openbill"
"2019",0.0780581109693895,0.004567042494115,2019,"Asian Openbill"
"2020",0.078386977566335,0.00450795457794471,2020,"Asian Openbill"
"2021",0.0815159842030525,0.00469311314432503,2021,"Asian Openbill"
"before 2000",0.0449838285185804,0.00324108341678582,1992,"Woolly-necked Stork"
