COMMON.NAME,timegroups,mean,cil,cir
Agriculture field,2002,6.728970171,5.195740102,8.714646743
Agriculture field,2003,NA,NA,NA
Agriculture field,2004,2.928485912,2.341083496,3.663273759
Agriculture field,2005,2.074344188,1.543102175,2.788476278
Agriculture field,2006,2.124937949,1.784367188,2.530511274
Agriculture field,2007,NA,NA,NA
Agriculture field,2008,1.821375385,1.467665034,2.260330671
Agriculture field,2009,3.111516282,2.392127091,4.047248832
Agriculture field,2010,2.782656838,1.784876721,4.338215063
Agriculture field,2011,2.732063077,0.002484395,3004.42071
Agriculture field,2012,2.732063077,0.002484395,3004.42071
Agriculture field,2013,4.705219744,0.353585108,62.61319356
Agriculture field,2014,NA,NA,NA
Agriculture field,2015,NA,NA,NA
Agriculture field,2016,3.97666959,3.210664425,4.925429423
Agriculture field,2017,4.523082205,3.611068661,5.665434406
Agriculture field,2018,NA,NA,NA
Agriculture field,2019,1.760662872,1.272516067,2.436066489
Agriculture field,2020,2.732063077,2.283712982,3.268435532
Agriculture field,2021,3.187406923,2.370993517,4.284939128
Agriculture field,2022,2.511290303,2.077838781,3.035162807
Grazed meadow,2002,2.730424167,2.161620423,3.448901599
Grazed meadow,2003,NA,NA,NA
Grazed meadow,2004,1.666828707,1.315697566,2.111669132
Grazed meadow,2005,0.88897531,0.457819617,1.72617571
Grazed meadow,2006,0.736579543,0.387344025,1.400691345
Grazed meadow,2007,NA,NA,NA
Grazed meadow,2008,0.965173194,0.689519797,1.351026175
Grazed meadow,2009,1.523957675,0.963742706,2.409820568
Grazed meadow,2010,1.451388262,1.173654036,1.794845688
Grazed meadow,2011,1.523957675,0.000212656,10921.1616
Grazed meadow,2012,NA,NA,NA
Grazed meadow,2013,1.777950621,0.000430321,7345.931316
Grazed meadow,2014,NA,NA,NA
Grazed meadow,2015,NA,NA,NA
Grazed meadow,2016,1.96844533,1.620153324,2.391611312
Grazed meadow,2017,2.260537218,1.681360273,3.039222822
Grazed meadow,2018,NA,NA,NA
Grazed meadow,2019,0.914374605,0.654773769,1.276900447
Grazed meadow,2020,1.473159086,1.02487494,2.117524399
Grazed meadow,2021,2.057342861,1.637838224,2.584296535
Grazed meadow,2022,2.031943566,1.290871372,3.198455513
Grazed steppe,2002,NA,NA,NA
Grazed steppe,2003,NA,NA,NA
Grazed steppe,2004,2.543162904,2.0633149,3.13460517
Grazed steppe,2005,1.688857695,1.484817058,1.920937195
Grazed steppe,2006,2.165202173,1.909796777,2.45476404
Grazed steppe,2007,NA,NA,NA
Grazed steppe,2008,1.599970448,1.347997365,1.899043352
Grazed steppe,2009,2.37032659,1.964541964,2.859927782
Grazed steppe,2010,1.925890354,1.630109484,2.275340211
Grazed steppe,2011,NA,NA,NA
Grazed steppe,2012,NA,NA,NA
Grazed steppe,2013,3.259199061,0.004955031,2143.75629
Grazed steppe,2014,1.777744942,0.00038858,8133.141976
Grazed steppe,2015,NA,NA,NA
Grazed steppe,2016,3.096239108,2.714325831,3.531888656
Grazed steppe,2017,3.066610025,2.511188471,3.74487903
Grazed steppe,2018,NA,NA,NA
Grazed steppe,2019,1.081461507,0.890018497,1.314083915
Grazed steppe,2020,1.807374025,1.446003856,2.259054049
Grazed steppe,2021,3.066610025,2.634251723,3.569931061
Grazed steppe,2022,2.311068425,1.936820041,2.757632177
Total,2002,11.1192784,9.332497728,13.2481524
Total,2003,NA,NA,NA
Total,2004,4.706880328,4.117078629,5.381175444
Total,2005,4.348134626,3.650001319,5.179799423
Total,2006,6.016815795,5.166496015,7.007084145
Total,2007,NA,NA,NA
Total,2008,3.397994142,2.93483804,3.934242378
Total,2009,6.337937986,5.468941506,7.345015096
Total,2010,5.183237436,4.381707846,6.131387865
Total,2011,5.323867909,3.319564413,8.538339968
Total,2012,5.171757397,3.09601073,8.639206033
Total,2013,30.47280584,4.731155448,196.2716943
Total,2014,4.259094327,0.764920999,23.71471631
Total,2015,NA,NA,NA
Total,2016,7.532092923,6.718521995,8.444182194
Total,2017,6.91088758,6.041839309,7.904938332
Total,2018,NA,NA,NA
Total,2019,2.575737998,1.881785758,3.525601256
Total,2020,8.026364666,5.847346437,11.01739575
Total,2021,7.241457802,6.089881403,8.610793483
Total,2022,5.5059018,3.988872456,7.599880659
Ungrazed steppe,2002,5.179300613,4.632099683,5.791143688
Ungrazed steppe,2003,NA,NA,NA
Ungrazed steppe,2004,2.218226358,1.911361642,2.574357498
Ungrazed steppe,2005,1.876668371,1.558179113,2.26025631
Ungrazed steppe,2006,2.196798053,1.955422441,2.467968858
Ungrazed steppe,2007,NA,NA,NA
Ungrazed steppe,2008,1.598643427,1.23751658,2.06515278
Ungrazed steppe,2009,3.219007552,2.681568613,3.864159794
Ungrazed steppe,2010,1.997435456,1.556346254,2.563535195
Ungrazed steppe,2011,2.476159656,1.442857222,4.249461794
Ungrazed steppe,2012,2.476159656,0.009395293,652.5998664
Ungrazed steppe,2013,2.476159656,0.000618301,9916.472743
Ungrazed steppe,2014,2.971391587,0.00333788,2645.142515
Ungrazed steppe,2015,NA,NA,NA
Ungrazed steppe,2016,4.572641497,3.983257708,5.249233616
Ungrazed steppe,2017,3.97836318,3.294761059,4.803800126
Ungrazed steppe,2018,NA,NA,NA
Ungrazed steppe,2019,1.089510248,0.812618641,1.460749879
Ungrazed steppe,2020,2.179020497,1.613913557,2.941997919
Ungrazed steppe,2021,2.688401912,1.900334578,3.803280182
Ungrazed steppe,2022,2.043814319,1.613119728,2.589502129
