"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","X","X",177,0.0451977401129944,0.312146892655367,0.423728813559322,13.2316384180791,0.877740898485105
"Lesser Whistling-Duck","Dendrocygna javanica","X","X","X",2362,0.0537679932260796,0.381138865368332,0.534292972057578,10.201100762066,0.259705111124465
"Bar-headed Goose","Anser indicus","X","X","X",869,0.0817031070195627,0.307393555811277,0.371691599539701,11.4062140391254,0.443817974123449
"Graylag Goose","Anser anser","X","X","X",493,0.0973630831643002,0.294624746450304,0.434077079107505,11.1440162271805,0.544372210270333
"Greater White-fronted Goose","Anser albifrons","","","",23,NA,0.201086956521739,0.347826086956522,13.5217391304348,2.78788891311226
"Lesser White-fronted Goose","Anser erythropus","","","",11,NA,0.0909090909090909,NA,13,4.65324129456603
"Taiga Bean-Goose","Anser fabalis","","","",1,NA,NA,NA,9,NA
"Tundra Bean-Goose","Anser serrirostris","","","",2,NA,NA,NA,15,1.96
"Red-breasted Goose","Branta ruficollis","","","",3,NA,0.583333333333333,0.666666666666667,13.3333333333333,6.53333333333333
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",1,NA,NA,NA,19,NA
"Knob-billed Duck","Sarkidiornis melanotos","X","X","X",1186,0.0497470489038786,0.304279089376054,0.419898819561551,10.5573355817875,0.361151399781893
"Ruddy Shelduck","Tadorna ferruginea","X","X","X",1442,0.0887656033287101,0.324635922330097,0.438973647711512,9.79195561719833,0.301317662908491
"Common Shelduck","Tadorna tadorna","","","",99,0.101010101010101,0.224747474747475,0.232323232323232,13.2020202020202,1.34135170841688
"Cotton Pygmy-Goose","Nettapus coromandelianus","X","X","X",1315,0.0836501901140684,0.338878326996198,0.425855513307985,11.7277566539924,0.362228296105282
"Mandarin Duck","Aix galericulata","","","",1,NA,NA,NA,17,NA
"Baikal Teal","Sibirionetta formosa","","","",8,0.125,0.125,0.125,16.625,3.51275177033618
"Garganey","Spatula querquedula","X","X","X",1231,0.0901705930138099,0.355808285946385,0.415922014622258,12.251015434606,0.369518334356139
"Northern Shoveler","Spatula clypeata","X","X","X",1447,0.102280580511403,0.346924671734623,0.409122322045612,10.9564616447823,0.340813559818129
"Gadwall","Mareca strepera","X","X","X",1131,0.0769230769230769,0.316534040671972,0.428824049513705,10.2590627763042,0.352556764819026
"Falcated Duck","Mareca falcata","","","",33,0.242424242424242,0.246212121212121,0.363636363636364,14.4545454545455,2.04375788218461
"Eurasian Wigeon","Mareca penelope","X","X","X",981,0.09072375127421,0.301732925586137,0.353720693170234,11.6717635066259,0.396092338270894
"Indian Spot-billed Duck","Anas poecilorhyncha","X","X","X",2222,0.0796579657965797,0.409484698469847,0.550855085508551,10.2160216021602,0.269154313823794
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",17,0.0588235294117647,0.316176470588235,0.529411764705882,15.4117647058824,2.43588668550831
"Mallard","Anas platyrhynchos","X","X","X",363,0.115702479338843,0.283402203856749,0.377410468319559,11.4077134986226,0.608310284604283
"Northern Pintail","Anas acuta","X","X","X",1559,0.118665811417575,0.33426876202694,0.40795381654907,11.060936497755,0.324307904055579
"Green-winged Teal","Anas crecca","X","X","X",1335,0.112359550561798,0.322378277153558,0.394007490636704,11.0307116104869,0.350305428358373
"Andaman Teal","Anas albogularis","","","X",16,0.1875,0.3359375,0.3125,6.5,2.38041172909226
"Marbled Teal","Marmaronetta angustirostris","","","X",6,0.666666666666667,NA,NA,16.3333333333333,2.61333333333333
"Pink-headed Duck","Rhodonessa caryophyllacea","","","X",NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata","","","X",11,0.363636363636364,0.261363636363636,0.181818181818182,13.6363636363636,3.29323192759417
"Red-crested Pochard","Netta rufina","X","X","X",724,0.0704419889502762,0.282803867403315,0.375690607734807,10.2941988950276,0.427981946853999
"Common Pochard","Aythya ferina","X","X","X",1013,0.0987166831194472,0.292571569595262,0.375123395853899,10.6436327739388,0.375038238680884
"Ferruginous Duck","Aythya nyroca","X","X","X",479,0.0939457202505219,0.2839248434238,0.336116910229645,11.2546972860125,0.554129039014139
"Baer's Pochard","Aythya baeri","","","X",9,NA,0.148148148148148,0.111111111111111,15.5555555555556,3.65386722241139
"Tufted Duck","Aythya fuligula","X","X","X",635,0.14488188976378,0.277165354330709,0.37007874015748,11.3181102362205,0.47404290850057
"Greater Scaup","Aythya marila","","","",10,NA,0.125,0.1,19.2,2.93345939123077
"Long-tailed Duck","Clangula hyemalis","","","",2,NA,NA,NA,15,0
