"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","X",63,0.0317460317460317,0.277777777777778,0.365079365079365,11.6507936507937,1.40331904458681
"Lesser Whistling-Duck","Dendrocygna javanica","","","X",1187,0.0345408593091828,0.338458298230834,0.491154170176917,8.16596461668071,0.294376643661382
"Bar-headed Goose","Anser indicus","","","X",493,0.0689655172413793,0.309330628803245,0.377281947261663,9.42596348884381,0.492302374887957
"Graylag Goose","Anser anser","","","X",289,0.0934256055363322,0.292387543252595,0.442906574394464,9.7439446366782,0.632479720067876
"Greater White-fronted Goose","Anser albifrons","","","",13,NA,0.217948717948718,0.384615384615385,11.4615384615385,3.32604805448591
"Lesser White-fronted Goose","Anser erythropus","","","",3,NA,NA,NA,7.66666666666667,10.2679393150611
"Taiga Bean-Goose","Anser fabalis","","","",1,NA,NA,NA,9,NA
"Tundra Bean-Goose","Anser serrirostris","","","",1,NA,NA,NA,14,NA
"Red-breasted Goose","Branta ruficollis","","","",3,NA,0.583333333333333,0.666666666666667,13.3333333333333,6.53333333333333
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","","","X",715,0.041958041958042,0.307342657342657,0.412587412587413,8.75804195804196,0.386964488634429
"Ruddy Shelduck","Tadorna ferruginea","","","X",795,0.0742138364779874,0.310849056603774,0.426415094339623,8.43522012578616,0.346319602266666
"Common Shelduck","Tadorna tadorna","","","",45,0.111111111111111,0.213888888888889,0.222222222222222,11.4888888888889,1.66174057733222
"Cotton Pygmy-Goose","Nettapus coromandelianus","","","X",620,0.0741935483870968,0.309274193548387,0.385483870967742,9.58387096774194,0.44366777732482
"Mandarin Duck","Aix galericulata","","","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","","","",4,0.25,NA,NA,14.75,4.8918265164115
"Garganey","Spatula querquedula","","","X",638,0.0595611285266458,0.331308777429467,0.413793103448276,9.94984326018809,0.430896767179399
"Northern Shoveler","Spatula clypeata","","","X",812,0.082512315270936,0.325277093596059,0.402709359605911,8.83497536945813,0.369402861683108
"Gadwall","Mareca strepera","","","X",618,0.0631067961165049,0.315331715210356,0.440129449838188,8.84789644012945,0.409761415349119
"Falcated Duck","Mareca falcata","","","",12,0.25,0.194444444444444,0.333333333333333,11.5,2.95973176507807
"Eurasian Wigeon","Mareca penelope","","","X",512,0.076171875,0.3056640625,0.375,9.837890625,0.471172571316232
"Indian Spot-billed Duck","Anas poecilorhyncha","","","X",1236,0.0622977346278317,0.374797734627832,0.513754045307443,8.00970873786408,0.288559067096569
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",3,NA,0.444444444444444,0.333333333333333,11,3.394819582835
"Mallard","Anas platyrhynchos","","","X",155,0.0967741935483871,0.257258064516129,0.329032258064516,9.94838709677419,0.814445639991627
"Northern Pintail","Anas acuta","","","X",808,0.099009900990099,0.316522277227723,0.402227722772277,9.00247524752475,0.372279535424343
"Green-winged Teal","Anas crecca","","","X",728,0.0837912087912088,0.316964285714286,0.401098901098901,9.06181318681319,0.393810243052133
"Andaman Teal","Anas albogularis","","","X",NA,NA,NA,NA,NA,NA
"Marbled Teal","Marmaronetta angustirostris","","","X",3,0.666666666666667,NA,NA,18.3333333333333,0.653333333333333
"Pink-headed Duck","Rhodonessa caryophyllacea","","","X",NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata","","","X",NA,NA,NA,NA,NA,NA
"Red-crested Pochard","Netta rufina","","","X",423,0.066193853427896,0.290780141843972,0.397163120567376,8.99763593380615,0.490666531156744
"Common Pochard","Aythya ferina","","","X",581,0.0877796901893287,0.291092943201377,0.376936316695353,9.09466437177281,0.431754333070923
"Ferruginous Duck","Aythya nyroca","","","X",270,0.0703703703703704,0.281018518518519,0.351851851851852,9.85925925925926,0.637875744505565
"Baer's Pochard","Aythya baeri","","","X",1,NA,NA,NA,11,NA
"Tufted Duck","Aythya fuligula","","","X",331,0.126888217522659,0.285498489425982,0.386706948640483,9.91842900302115,0.581870077982563
"Greater Scaup","Aythya marila","","","",2,NA,NA,NA,19,3.92
"Long-tailed Duck","Clangula hyemalis","","","",NA,NA,NA,NA,NA,NA
"Common Goldeneye","Bucephala clangula","","","",NA,NA,NA,NA,NA,NA
"Smew","Mergellus albellus","","","",NA,NA,NA,NA,NA,NA
"Common Merganser","Mergus merganser","","","",11,0.272727272727273,0.142857142857143,0.181818181818182,10.6363636363636,1.5472092712124
"Red-breasted Merganser","Mergus serrator","","","",NA,NA,NA,NA,NA,NA
"White-headed Duck","Oxyura leucocephala","","","",NA,NA,NA,NA,NA,NA
"Nicobar Scrubfowl","Megapodius nicobariensis","","","X",NA,NA,NA,NA,NA,NA
"Hill Partridge","Arborophila torqueola","","","X",NA,NA,NA,NA,NA,NA
"Chestnut-breasted Partridge","Arborophila mandellii","","","X",NA,NA,NA,NA,NA,NA
"Rufous-throated Partridge","Arborophila rufogularis","","","",NA,NA,NA,NA,NA,NA
"White-cheeked Partridge","Arborophila atrogularis","","","X",1,NA,1,NA,14,NA
"Snow Partridge","Lerwa lerwa","","","",NA,NA,NA,NA,NA,NA
"Blood Pheasant","Ithaginis cruentus","","","X",NA,NA,NA,NA,NA,NA
"Western Tragopan","Tragopan melanocephalus","","","X",NA,NA,NA,NA,NA,NA
"Satyr Tragopan","Tragopan satyra","","","X",NA,NA,NA,NA,NA,NA
"Blyth's Tragopan","Tragopan blythii","","","X",NA,NA,NA,NA,NA,NA
"Temminck's Tragopan","Tragopan temminckii","","","",NA,NA,NA,NA,NA,NA
"Himalayan Monal","Lophophorus impejanus","","","X",NA,NA,NA,NA,NA,NA
"Sclater's Monal","Lophophorus sclateri","","","X",NA,NA,NA,NA,NA,NA
"Koklass Pheasant","Pucrasia macrolopha","","","",NA,NA,NA,NA,NA,NA
"Tibetan Partridge","Perdix hodgsoniae","","","",NA,NA,NA,NA,NA,NA
"Hume's Pheasant","Syrmaticus humiae","","","",NA,NA,NA,NA,NA,NA
"Cheer Pheasant","Catreus wallichii","","","X",NA,NA,NA,NA,NA,NA
"Kalij Pheasant","Lophura leucomelanos","","","",5,0.2,0.257142857142857,0.2,10.4,2.60023383563863
"Indian Peafowl","Pavo cristatus","","","X",1285,0.0381322957198444,0.370136186770428,0.514396887159533,7.49805447470817,0.281844116685137
"Green Peafowl","Pavo muticus","","","",NA,NA,NA,NA,NA,NA
"Red Spurfowl","Galloperdix spadicea","","","X",50,0.02,0.175,0.26,11.76,1.78020115717298
"Painted Spurfowl","Galloperdix lunulata","","","X",74,0.027027027027027,0.226351351351351,0.324324324324324,10.9054054054054,1.33398747791442
"Gray Peacock-Pheasant","Polyplectron bicalcaratum","","","",NA,NA,NA,NA,NA,NA
"Mountain Bamboo-Partridge","Bambusicola fytchii","","","",NA,NA,NA,NA,NA,NA
"Red Junglefowl","Gallus gallus","","","",80,0.0875,0.203125,0.2125,10.025,1.26436154399129
