"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","",11,NA,0.352272727272727,0.454545454545455,17,2.70812917645441
"Lesser Whistling-Duck","Dendrocygna javanica","X","X","X",320,0.05625,0.30625,0.490625,10.7625,0.652633896109524
"Bar-headed Goose","Anser indicus","X","X","X",164,0.0914634146341463,0.252286585365854,0.329268292682927,10.7134146341463,1.03495474795466
"Graylag Goose","Anser anser","","","",76,0.131578947368421,0.226973684210526,0.342105263157895,10.0789473684211,1.41039894161731
"Greater White-fronted Goose","Anser albifrons","","","",3,NA,0.333333333333333,0.333333333333333,9.33333333333333,10.4533333333333
"Lesser White-fronted Goose","Anser erythropus","","","",4,NA,NA,NA,8,7.84
"Taiga Bean-Goose","Anser fabalis","","","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","","","",1,NA,NA,NA,16,NA
"Red-breasted Goose","Branta ruficollis","","","",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",NA,NA,NA,NA,NA,NA
"Knob-billed Duck","Sarkidiornis melanotos","X","X","X",223,0.062780269058296,0.281390134529148,0.443946188340807,11.085201793722,0.776861939298411
"Ruddy Shelduck","Tadorna ferruginea","X","X","X",250,0.14,0.306,0.42,9.432,0.712378202769797
"Common Shelduck","Tadorna tadorna","","","",15,0.133333333333333,0.1,NA,9.93333333333333,3.95931396975677
"Cotton Pygmy-Goose","Nettapus coromandelianus","","X","X",141,0.120567375886525,0.25531914893617,0.304964539007092,12.4822695035461,1.1115837646673
"Mandarin Duck","Aix galericulata","","","",NA,NA,NA,NA,NA,NA
"Baikal Teal","Sibirionetta formosa","","","",NA,NA,NA,NA,NA,NA
"Garganey","Spatula querquedula","X","X","X",222,0.108108108108108,0.304054054054054,0.378378378378378,11.9279279279279,0.803284466335605
"Northern Shoveler","Spatula clypeata","X","X","X",284,0.133802816901408,0.342869718309859,0.440140845070423,10.806338028169,0.73121965728209
"Gadwall","Mareca strepera","X","X","X",203,0.083743842364532,0.275862068965517,0.364532019704433,10.0935960591133,0.839526282799106
"Falcated Duck","Mareca falcata","","","",3,0.333333333333333,0.333333333333333,NA,16,8.54344192933972
"Eurasian Wigeon","Mareca penelope","X","X","X",192,0.114583333333333,0.245442708333333,0.270833333333333,11.6041666666667,0.86774134394656
"Indian Spot-billed Duck","Anas poecilorhyncha","X","X","X",373,0.107238605898123,0.403485254691689,0.605898123324397,10.3565683646113,0.612707571085997
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",NA,NA,NA,NA,NA,NA
"Mallard","Anas platyrhynchos","","X","X",101,0.118811881188119,0.222772277227723,0.306930693069307,10.4059405940594,1.15319628494061
"Northern Pintail","Anas acuta","X","X","X",289,0.131487889273356,0.285899653979239,0.332179930795848,10.9065743944637,0.701980261782985
"Green-winged Teal","Anas crecca","X","X","X",253,0.146245059288538,0.302371541501976,0.387351778656126,10.5177865612648,0.772549838947001
"Andaman Teal","Anas albogularis","","","X",NA,NA,NA,NA,NA,NA
"Marbled Teal","Marmaronetta angustirostris","","","X",2,1,NA,NA,13,5.88
"Pink-headed Duck","Rhodonessa caryophyllacea","","","X",NA,NA,NA,NA,NA,NA
"White-winged Duck","Asarcornis scutulata","","","X",NA,NA,NA,NA,NA,NA
"Red-crested Pochard","Netta rufina","","","",92,0.0652173913043478,0.186141304347826,0.228260869565217,9.92391304347826,1.20805563406929
"Common Pochard","Aythya ferina","X","X","X",207,0.130434782608696,0.274154589371981,0.371980676328502,10.6135265700483,0.822928182999316
"Ferruginous Duck","Aythya nyroca","","","",79,0.113924050632911,0.185126582278481,0.164556962025316,10.3924050632911,1.36732433083809
