"COMMON.NAME","SCIENTIFIC.NAME","Long.Term.Analysis","Current.Analysis","Selected.SOIB","totalrange25km","proprange25km2000","proprange25km.current","proprange25km2022","mean5km","ci5km"
"Fulvous Whistling-Duck","Dendrocygna bicolor","","","",54,0.037037037037037,0.247685185185185,0.407407407407407,12.962962962963,1.52558541043341
"Lesser Whistling-Duck","Dendrocygna javanica","","","X",605,0.0628099173553719,0.441322314049587,0.59504132231405,12.8892561983471,0.572048162406044
"Bar-headed Goose","Anser indicus","","","X",141,0.0851063829787234,0.283687943262411,0.319148936170213,15.8510638297872,1.04672300867445
"Graylag Goose","Anser anser","","","X",74,0.0675675675675676,0.271959459459459,0.337837837837838,14.2432432432432,1.19665156843378
"Greater White-fronted Goose","Anser albifrons","","","",5,NA,0.425,0.4,17.4,1.81762922511716
"Lesser White-fronted Goose","Anser erythropus","","","",5,NA,0.2,NA,18.4,1.59231152730865
"Taiga Bean-Goose","Anser fabalis","","","",NA,NA,NA,NA,NA,NA
"Tundra Bean-Goose","Anser serrirostris","","","",NA,NA,NA,NA,NA,NA
"Red-breasted Goose","Branta ruficollis","","","",NA,NA,NA,NA,NA,NA
"Mute Swan","Cygnus olor","","","",NA,NA,NA,NA,NA,NA
"Tundra Swan","Cygnus columbianus","","","",NA,NA,NA,NA,NA,NA
"Whooper Swan","Cygnus cygnus","","","",1,NA,NA,NA,19,NA
"Knob-billed Duck","Sarkidiornis melanotos","","","X",145,0.0551724137931034,0.26551724137931,0.4,15.3379310344828,1.11377999683877
"Ruddy Shelduck","Tadorna ferruginea","","","X",258,0.0852713178294574,0.332848837209302,0.422480620155039,12.468992248062,0.73405231635041
"Common Shelduck","Tadorna tadorna","","","",24,0.125,0.302083333333333,0.375,15.2083333333333,2.23841297191788
"Cotton Pygmy-Goose","Nettapus coromandelianus","","","X",357,0.0784313725490196,0.367647058823529,0.478991596638655,13.9131652661064,0.749860334283578
"Mandarin Duck","Aix galericulata","","","",1,NA,NA,NA,17,NA
"Baikal Teal","Sibirionetta formosa","","","",2,NA,0.5,0.5,17.5,4.9
"Garganey","Spatula querquedula","","","X",222,0.103603603603604,0.372747747747748,0.396396396396396,16.4864864864865,0.874349993073751
"Northern Shoveler","Spatula clypeata","","","X",207,0.0628019323671498,0.331521739130435,0.347826086956522,15.9613526570048,0.920029275871993
"Gadwall","Mareca strepera","","","X",192,0.078125,0.29296875,0.395833333333333,12.6979166666667,0.904887024447943
"Falcated Duck","Mareca falcata","","","",12,0.166666666666667,0.364583333333333,0.416666666666667,14.6666666666667,3.25774539375088
"Eurasian Wigeon","Mareca penelope","","","X",153,0.0588235294117647,0.264705882352941,0.26797385620915,14.718954248366,1.01810480406056
"Indian Spot-billed Duck","Anas poecilorhyncha","","","X",412,0.0728155339805825,0.430825242718447,0.546116504854369,14.618932038835,0.66436094385803
"Eastern Spot-billed Duck","Anas zonorhyncha","","","",6,0.166666666666667,0.375,0.5,16.3333333333333,3.97407151979484
"Mallard","Anas platyrhynchos","","","X",97,0.11340206185567,0.313144329896907,0.412371134020619,12.6907216494845,1.07911720000301
"Northern Pintail","Anas acuta","","","X",281,0.099644128113879,0.354537366548043,0.427046263345196,14.8754448398577,0.805497456013663
"Green-winged Teal","Anas crecca","","","X",232,0.116379310344828,0.306034482758621,0.349137931034483,15.0344827586207,0.852128122012178
"Andaman Teal","Anas albogularis","","","X",16,0.1875,0.3359375,0.3125,6.5,2.38041172909226
"Marbled Teal","Marmaronetta angustirostris","","","X",1,NA,NA,NA,17,NA
