"timegroups","lci_std","rci_std","timegroupsf","mean_trans","se_trans","COMMON.NAME","lci","mean","rci","m1","mean_year1","s1","mean_std"
1992,85.1594721005169,117.174862270046,"before 2000",-3.10186080788021,0.0604666704032285,"Lesser Whistling-Duck",0.0391529681313536,0.0439694902047512,0.0493631573351437,-3.10186080788021,0.0439694902047512,0.0604666704032285,100
2003,77.5486993935943,105.893817530827,"2000-2006",-3.19618242623313,0.0536873394394547,"Lesser Whistling-Duck",0.0361611950053221,0.0400922703704513,0.0444407519335342,-3.10186080788021,0.0439694902047512,0.0604666704032285,91.1820223153716
2009,88.011529976295,123.685473134324,"2007-2010",-3.04613623047946,0.065018081218273,"Lesser Whistling-Duck",0.0409900631988341,0.0464298278061564,0.0525714974802483,-3.10186080788021,0.0439694902047512,0.0604666704032285,105.595556350434
2012,119.330480965273,166.489666011812,"2011-2012",-2.74574627147868,0.0620412286365063,"Lesser Whistling-Duck",0.0552638001134189,0.0621829317247562,0.0699358213529408,-3.10186080788021,0.0439694902047512,0.0604666704032285,141.422908101029
2013,118.825655177062,161.563364682892,"2013",-2.76494122850331,0.0597733194036492,"Lesser Whistling-Duck",0.0544771038328587,0.0610375600774632,0.0683591027694136,-3.10186080788021,0.0439694902047512,0.0604666704032285,138.817984455202
2014,102.906276372508,142.739024549659,"2014",-2.89977098523499,0.0514688695482969,"Lesser Whistling-Duck",0.0485372281914178,0.0535487570257768,0.0590614811085208,-3.10186080788021,0.0439694902047512,0.0604666704032285,121.786167582153
2015,96.2347345525246,129.113123482686,"2015",-2.98499645306194,0.0520258717264214,"Lesser Whistling-Duck",0.0446143174488395,0.0492837991665474,0.0544279304902303,-3.10186080788021,0.0439694902047512,0.0604666704032285,112.086355645811
2016,91.0564885268627,123.203924033593,"2016",-3.04818479776338,0.0513198240091723,"Lesser Whistling-Duck",0.0419974090726338,0.0463370467959335,0.0511130188531772,-3.10186080788021,0.0439694902047512,0.0604666704032285,105.384544101279
2017,88.2284171420041,120.379987582638,"2017",-3.07116744762497,0.0525647779050969,"Lesser Whistling-Duck",0.0409650748538633,0.0453084664659091,0.0501002235879783,-3.10186080788021,0.0439694902047512,0.0604666704032285,103.045239448815
2018,81.232821275211,110.996632737764,"2018",-3.15237716952892,0.0527991832686591,"Lesser Whistling-Duck",0.0378140173600661,0.0418494672785866,0.0463051147404856,-3.10186080788021,0.0439694902047512,0.0604666704032285,95.1784227738545
2019,83.8783261297886,114.383022244023,"2019",-3.11773013398063,0.0523554715896896,"Lesser Whistling-Duck",0.0391540666129372,0.0432924389970608,0.0478572172252163,-3.10186080788021,0.0439694902047512,0.0604666704032285,98.4601795369071
2020,85.5415855265372,117.802882995042,"2020",-3.1050770874326,0.0526860890983452,"Lesser Whistling-Duck",0.0396174528013302,0.0438314398126869,0.0484822316236446,-3.10186080788021,0.0439694902047512,0.0604666704032285,99.6860314017255
2021,86.3864017805444,116.59499500725,"2021",-3.09423239546833,0.0528082779042186,"Lesser Whistling-Duck",0.0400312708165073,0.0442986203474242,0.049009144556923,-3.10186080788021,0.0439694902047512,0.0604666704032285,100.748542093939
2022,85.7195285437955,117.269453611701,"2022",-3.11113425640892,0.0521140074217249,"Lesser Whistling-Duck",0.0394262843018008,0.0435726003757269,0.0481439360396861,-3.10186080788021,0.0439694902047512,0.0604666704032285,99.0973517610142
2023,83.110421823838,112.42907104086,"2023",-3.13476141474716,0.052685902154117,"Lesser Whistling-Duck",0.0384813232060039,0.0425771479712903,0.0470981407513121,-3.10186080788021,0.0439694902047512,0.0604666704032285,96.8333900916814
2024,82.6017609369912,111.494021517355,"2024",-3.15151772025279,0.0526530023729425,"Lesser Whistling-Duck",0.0378565444459042,0.041884685923718,0.0463310276796084,-3.10186080788021,0.0439694902047512,0.0604666704032285,95.2585206894033
1992,68.4386062738717,145.405747641951,"before 2000",-5.14453348669799,0.139940756747871,"Bar-headed Goose",0.00442257689857015,0.00581422564514776,0.00764209975550656,-5.14453348669799,0.00581422564514776,0.139940756747871,100
2003,69.9763017543437,159.294515274647,"2000-2006",-5.07947715080695,0.151511246531743,"Bar-headed Goose",0.00461358331391125,0.00620383817415834,0.00833993680920496,-5.14453348669799,0.00581422564514776,0.139940756747871,106.701021817681
2009,76.7112825771598,169.09675118797,"2007-2010",-4.98479139941639,0.146118086173279,"Bar-headed Goose",0.00512435552242669,0.00681785718796672,0.00906847275327548,-5.14453348669799,0.00581422564514776,0.139940756747871,117.261654501774
2012,85.8054220462405,188.101237175711,"2011-2012",-4.89659091746991,0.141782513214024,"Bar-headed Goose",0.00564314990668304,0.00744416632179208,0.00981713494329613,-5.14453348669799,0.00581422564514776,0.139940756747871,128.033667355249
2013,87.8876984659215,185.991208910341,"2013",-4.89623258405576,0.147334162550593,"Bar-headed Goose",0.0055842441953102,0.00744682433460463,0.00992754508359407,-5.14453348669799,0.00581422564514776,0.139940756747871,128.07938303563
2014,91.2222866510647,211.575729542874,"2014",-4.806465981779,0.142413894527945,"Bar-headed Goose",0.00616610317309025,0.00814336699558055,0.0107512354674481,-5.14453348669799,0.00581422564514776,0.139940756747871,140.059356010315
2015,101.281267330236,210.17821166618,"2015",-4.7521588962152,0.135147430878866,"Bar-headed Goose",0.00660216232250419,0.00859587957736713,0.0111882594216774,-5.14453348669799,0.00581422564514776,0.139940756747871,147.842208094225
2016,78.4526124249878,167.347672194801,"2016",-5.0146348409832,0.131416781914158,"Bar-headed Goose",0.0051190993712255,0.00661805981018814,0.00855405108780616,-5.14453348669799,0.00581422564514776,0.139940756747871,113.825300463033
2017,91.5618582058748,194.01345728668,"2017",-4.85659139223639,0.130525184466866,"Bar-headed Goose",0.00600339589482694,0.00774678511258229,0.00999390455287251,-5.14453348669799,0.00581422564514776,0.139940756747871,133.238466915149
2018,89.0827888589619,193.711669902824,"2018",-4.86172723253941,0.132043330551925,"Bar-headed Goose",0.00595504156864538,0.00770725417837066,0.00997244617772714,-5.14453348669799,0.00581422564514776,0.139940756747871,132.558566673495
2019,81.502007839963,175.192837145302,"2019",-4.95393516014687,0.133921084036507,"Bar-headed Goose",0.00541202138369463,0.00703075711944686,0.00913142956780186,-5.14453348669799,0.00581422564514776,0.139940756747871,120.923361915174
2020,77.848797039533,170.088461424907,"2020",-5.02112040501834,0.131833634530981,"Bar-headed Goose",0.00508194762848108,0.0065754178135468,0.008505905563851,-5.14453348669799,0.00581422564514776,0.139940756747871,113.091892452339
2021,75.3164998085478,157.470803054085,"2021",-5.04854173355067,0.132775890444165,"Bar-headed Goose",0.00493572635578158,0.0063981310142167,0.00829202229549008,-5.14453348669799,0.00581422564514776,0.139940756747871,110.042702239398
2022,76.9958092392494,168.415146258047,"2022",-5.03951777296056,0.131972847270352,"Bar-headed Goose",0.00498818160362996,0.00645594117009849,0.00835376880008234,-5.14453348669799,0.00581422564514776,0.139940756747871,111.036990376978
2023,78.4059701867857,165.759554884638,"2023",-5.0082075042326,0.132451370942202,"Bar-headed Goose",0.00514161255457596,0.00666059086986948,0.00862636916012655,-5.14453348669799,0.00581422564514776,0.139940756747871,114.556800447331
2024,71.65514254096,148.294319277538,"2024",-5.12688481651516,0.130048292681017,"Bar-headed Goose",0.00458906764260811,0.00591744294110709,0.00762886061950947,-5.14453348669799,0.00581422564514776,0.139940756747871,101.775254389129
1992,18.7089770659092,522.788368289504,"before 2000",-5.96958350083074,0.617659030655079,"Graylag Goose",0.00076122929626022,0.0025520434660212,0.00853776557296237,-5.96958350083074,0.0025520434660212,0.617659030655079,100
2003,16.8275528993852,517.910466797377,"2000-2006",-5.98042153985571,0.618889409124807,"Graylag Goose",0.000751213614798868,0.00252456841938058,0.00846642851679512,-5.96958350083074,0.0025520434660212,0.617659030655079,98.9234099259504
