SOIBv2.Long.Term.Status,SOIBv2.Current.Status,SOIB.Range.Status,SOIBv2.Priority.Status
Rapid Decline,Rapid Decline,Very Restricted,High
Declining,Rapid Decline,Very Restricted,High
eBird Data Deficient,Rapid Decline,Very Restricted,High
eBird Data Indecisive,Rapid Decline,Very Restricted,High
Stable,Rapid Decline,Very Restricted,High
Increasing,Rapid Decline,Very Restricted,High
Rapid Increase,Rapid Decline,Very Restricted,High
Rapid Decline,Declining,Very Restricted,High
Declining,Declining,Very Restricted,High
eBird Data Deficient,Declining,Very Restricted,High
eBird Data Indecisive,Declining,Very Restricted,High
Stable,Declining,Very Restricted,High
Increasing,Declining,Very Restricted,Moderate
Rapid Increase,Declining,Very Restricted,Moderate
Rapid Decline,eBird Data Deficient,Very Restricted,NA
Declining,eBird Data Deficient,Very Restricted,NA
eBird Data Deficient,eBird Data Deficient,Very Restricted,High
eBird Data Indecisive,eBird Data Deficient,Very Restricted,NA
Stable,eBird Data Deficient,Very Restricted,NA
Increasing,eBird Data Deficient,Very Restricted,NA
Rapid Increase,eBird Data Deficient,Very Restricted,NA
Rapid Decline,eBird Data Indecisive,Very Restricted,High
Declining,eBird Data Indecisive,Very Restricted,High
eBird Data Deficient,eBird Data Indecisive,Very Restricted,High
eBird Data Indecisive,eBird Data Indecisive,Very Restricted,High
Stable,eBird Data Indecisive,Very Restricted,Low
Increasing,eBird Data Indecisive,Very Restricted,Moderate
Rapid Increase,eBird Data Indecisive,Very Restricted,Moderate
Rapid Decline,Stable,Very Restricted,High
Declining,Stable,Very Restricted,High
eBird Data Deficient,Stable,Very Restricted,Moderate
eBird Data Indecisive,Stable,Very Restricted,Moderate
Stable,Stable,Very Restricted,Low
Increasing,Stable,Very Restricted,Low
Rapid Increase,Stable,Very Restricted,Low
Rapid Decline,Increasing,Very Restricted,High
Declining,Increasing,Very Restricted,High
eBird Data Deficient,Increasing,Very Restricted,Moderate
eBird Data Indecisive,Increasing,Very Restricted,Moderate
Stable,Increasing,Very Restricted,Low
Increasing,Increasing,Very Restricted,Low
Rapid Increase,Increasing,Very Restricted,Low
Rapid Decline,Rapid Increase,Very Restricted,High
Declining,Rapid Increase,Very Restricted,High
eBird Data Deficient,Rapid Increase,Very Restricted,Moderate
eBird Data Indecisive,Rapid Increase,Very Restricted,Moderate
Stable,Rapid Increase,Very Restricted,Low
Increasing,Rapid Increase,Very Restricted,Low
Rapid Increase,Rapid Increase,Very Restricted,Low
Rapid Decline,Rapid Decline,Restricted,High
Declining,Rapid Decline,Restricted,High
eBird Data Deficient,Rapid Decline,Restricted,High
eBird Data Indecisive,Rapid Decline,Restricted,High
Stable,Rapid Decline,Restricted,High
Increasing,Rapid Decline,Restricted,Moderate
Rapid Increase,Rapid Decline,Restricted,Moderate
Rapid Decline,Declining,Restricted,High
Declining,Declining,Restricted,High
eBird Data Deficient,Declining,Restricted,High
eBird Data Indecisive,Declining,Restricted,High
Stable,Declining,Restricted,Moderate
Increasing,Declining,Restricted,Moderate
Rapid Increase,Declining,Restricted,Moderate
Rapid Decline,eBird Data Deficient,Restricted,NA
Declining,eBird Data Deficient,Restricted,NA
eBird Data Deficient,eBird Data Deficient,Restricted,Moderate
eBird Data Indecisive,eBird Data Deficient,Restricted,NA
Stable,eBird Data Deficient,Restricted,NA
Increasing,eBird Data Deficient,Restricted,NA
Rapid Increase,eBird Data Deficient,Restricted,NA
Rapid Decline,eBird Data Indecisive,Restricted,High
Declining,eBird Data Indecisive,Restricted,High
eBird Data Deficient,eBird Data Indecisive,Restricted,Moderate
eBird Data Indecisive,eBird Data Indecisive,Restricted,Moderate
Stable,eBird Data Indecisive,Restricted,Low
Increasing,eBird Data Indecisive,Restricted,Low
Rapid Increase,eBird Data Indecisive,Restricted,Low
Rapid Decline,Stable,Restricted,High
Declining,Stable,Restricted,Moderate
eBird Data Deficient,Stable,Restricted,Low
eBird Data Indecisive,Stable,Restricted,Low
Stable,Stable,Restricted,Low
Increasing,Stable,Restricted,Low
Rapid Increase,Stable,Restricted,Low
Rapid Decline,Increasing,Restricted,Moderate
Declining,Increasing,Restricted,Moderate
eBird Data Deficient,Increasing,Restricted,Low
eBird Data Indecisive,Increasing,Restricted,Low
Stable,Increasing,Restricted,Low
Increasing,Increasing,Restricted,Low
Rapid Increase,Increasing,Restricted,Low
Rapid Decline,Rapid Increase,Restricted,Moderate
Declining,Rapid Increase,Restricted,Moderate
eBird Data Deficient,Rapid Increase,Restricted,Low
eBird Data Indecisive,Rapid Increase,Restricted,Low
Stable,Rapid Increase,Restricted,Low
Increasing,Rapid Increase,Restricted,Low
Rapid Increase,Rapid Increase,Restricted,Low
Rapid Decline,Rapid Decline,Moderate,High
Declining,Rapid Decline,Moderate,High
eBird Data Deficient,Rapid Decline,Moderate,Moderate
eBird Data Indecisive,Rapid Decline,Moderate,Moderate
Stable,Rapid Decline,Moderate,Moderate
Increasing,Rapid Decline,Moderate,Moderate
Rapid Increase,Rapid Decline,Moderate,Moderate
Rapid Decline,Declining,Moderate,High
Declining,Declining,Moderate,High
eBird Data Deficient,Declining,Moderate,Moderate
eBird Data Indecisive,Declining,Moderate,Moderate
Stable,Declining,Moderate,Moderate
Increasing,Declining,Moderate,Moderate
Rapid Increase,Declining,Moderate,Moderate
Rapid Decline,eBird Data Deficient,Moderate,NA
Declining,eBird Data Deficient,Moderate,NA
eBird Data Deficient,eBird Data Deficient,Moderate,Moderate
eBird Data Indecisive,eBird Data Deficient,Moderate,NA
Stable,eBird Data Deficient,Moderate,NA
Increasing,eBird Data Deficient,Moderate,NA
Rapid Increase,eBird Data Deficient,Moderate,NA
Rapid Decline,eBird Data Indecisive,Moderate,Moderate
Declining,eBird Data Indecisive,Moderate,Moderate
eBird Data Deficient,eBird Data Indecisive,Moderate,Low
eBird Data Indecisive,eBird Data Indecisive,Moderate,Low
Stable,eBird Data Indecisive,Moderate,Low
Increasing,eBird Data Indecisive,Moderate,Low
Rapid Increase,eBird Data Indecisive,Moderate,Low
Rapid Decline,Stable,Moderate,Moderate
Declining,Stable,Moderate,Moderate
eBird Data Deficient,Stable,Moderate,Low
eBird Data Indecisive,Stable,Moderate,Low
Stable,Stable,Moderate,Low
Increasing,Stable,Moderate,Low
Rapid Increase,Stable,Moderate,Low
Rapid Decline,Increasing,Moderate,Moderate
Declining,Increasing,Moderate,Moderate
eBird Data Deficient,Increasing,Moderate,Low
eBird Data Indecisive,Increasing,Moderate,Low
Stable,Increasing,Moderate,Low
Increasing,Increasing,Moderate,Low
Rapid Increase,Increasing,Moderate,Low
Rapid Decline,Rapid Increase,Moderate,Moderate
Declining,Rapid Increase,Moderate,Moderate
eBird Data Deficient,Rapid Increase,Moderate,Low
eBird Data Indecisive,Rapid Increase,Moderate,Low
Stable,Rapid Increase,Moderate,Low
Increasing,Rapid Increase,Moderate,Low
Rapid Increase,Rapid Increase,Moderate,Low
Rapid Decline,Rapid Decline,Very Large,High
Declining,Rapid Decline,Very Large,Moderate
eBird Data Deficient,Rapid Decline,Very Large,Moderate
eBird Data Indecisive,Rapid Decline,Very Large,Moderate
Stable,Rapid Decline,Very Large,Moderate
Increasing,Rapid Decline,Very Large,Moderate
Rapid Increase,Rapid Decline,Very Large,Low
Rapid Decline,Declining,Very Large,Moderate
Declining,Declining,Very Large,Moderate
eBird Data Deficient,Declining,Very Large,Moderate
eBird Data Indecisive,Declining,Very Large,Moderate
Stable,Declining,Very Large,Low
Increasing,Declining,Very Large,Low
Rapid Increase,Declining,Very Large,Low
Rapid Decline,eBird Data Deficient,Very Large,NA
Declining,eBird Data Deficient,Very Large,NA
eBird Data Deficient,eBird Data Deficient,Very Large,Moderate
eBird Data Indecisive,eBird Data Deficient,Very Large,NA
Stable,eBird Data Deficient,Very Large,NA
Increasing,eBird Data Deficient,Very Large,NA
Rapid Increase,eBird Data Deficient,Very Large,NA
Rapid Decline,eBird Data Indecisive,Very Large,Moderate
Declining,eBird Data Indecisive,Very Large,Moderate
eBird Data Deficient,eBird Data Indecisive,Very Large,Low
eBird Data Indecisive,eBird Data Indecisive,Very Large,Low
Stable,eBird Data Indecisive,Very Large,Low
Increasing,eBird Data Indecisive,Very Large,Low
Rapid Increase,eBird Data Indecisive,Very Large,Low
Rapid Decline,Stable,Very Large,Moderate
Declining,Stable,Very Large,Low
eBird Data Deficient,Stable,Very Large,Low
eBird Data Indecisive,Stable,Very Large,Low
Stable,Stable,Very Large,Low
Increasing,Stable,Very Large,Low
Rapid Increase,Stable,Very Large,Low
Rapid Decline,Increasing,Very Large,Moderate
Declining,Increasing,Very Large,Low
eBird Data Deficient,Increasing,Very Large,Low
eBird Data Indecisive,Increasing,Very Large,Low
Stable,Increasing,Very Large,Low
Increasing,Increasing,Very Large,Low
Rapid Increase,Increasing,Very Large,Low
Rapid Decline,Rapid Increase,Very Large,Low
Declining,Rapid Increase,Very Large,Low
eBird Data Deficient,Rapid Increase,Very Large,Low
eBird Data Indecisive,Rapid Increase,Very Large,Low
Stable,Rapid Increase,Very Large,Low
Increasing,Rapid Increase,Very Large,Low
Rapid Increase,Rapid Increase,Very Large,Low
Rapid Decline,Rapid Decline,Large,High
Declining,Rapid Decline,Large,High
eBird Data Deficient,Rapid Decline,Large,Moderate
eBird Data Indecisive,Rapid Decline,Large,Moderate
Stable,Rapid Decline,Large,Moderate
Increasing,Rapid Decline,Large,Moderate
Rapid Increase,Rapid Decline,Large,Moderate
Rapid Decline,Declining,Large,High
Declining,Declining,Large,Moderate
eBird Data Deficient,Declining,Large,Moderate
eBird Data Indecisive,Declining,Large,Moderate
Stable,Declining,Large,Low
Increasing,Declining,Large,Low
Rapid Increase,Declining,Large,Low
Rapid Decline,eBird Data Deficient,Large,NA
Declining,eBird Data Deficient,Large,NA
eBird Data Deficient,eBird Data Deficient,Large,Moderate
eBird Data Indecisive,eBird Data Deficient,Large,NA
Stable,eBird Data Deficient,Large,NA
Increasing,eBird Data Deficient,Large,NA
Rapid Increase,eBird Data Deficient,Large,NA
Rapid Decline,eBird Data Indecisive,Large,Moderate
Declining,eBird Data Indecisive,Large,Moderate
eBird Data Deficient,eBird Data Indecisive,Large,Low
eBird Data Indecisive,eBird Data Indecisive,Large,Low
Stable,eBird Data Indecisive,Large,Low
Increasing,eBird Data Indecisive,Large,Low
Rapid Increase,eBird Data Indecisive,Large,Low
Rapid Decline,Stable,Large,Moderate
Declining,Stable,Large,Low
eBird Data Deficient,Stable,Large,Low
eBird Data Indecisive,Stable,Large,Low
Stable,Stable,Large,Low
Increasing,Stable,Large,Low
Rapid Increase,Stable,Large,Low
Rapid Decline,Increasing,Large,Moderate
Declining,Increasing,Large,Low
eBird Data Deficient,Increasing,Large,Low
eBird Data Indecisive,Increasing,Large,Low
Stable,Increasing,Large,Low
Increasing,Increasing,Large,Low
Rapid Increase,Increasing,Large,Low
Rapid Decline,Rapid Increase,Large,Moderate
Declining,Rapid Increase,Large,Low
eBird Data Deficient,Rapid Increase,Large,Low
eBird Data Indecisive,Rapid Increase,Large,Low
