timegroupsf,freq,se,timegroups,species
before 2000,0.182157717,0.050764302,1992,Bearded Vulture
2000-2006,0.161156837,0.046575317,2003,Bearded Vulture
2007-2010,0.163728296,0.046877209,2009,Bearded Vulture
2011-2012,0.152116383,0.041729213,2012,Bearded Vulture
2013,0.144927105,0.040351791,2013,Bearded Vulture
2014,0.107828754,0.031632332,2014,Bearded Vulture
2015,0.073087128,0.021359972,2015,Bearded Vulture
2016,0.074455144,0.021336706,2016,Bearded Vulture
2017,0.080641892,0.023350528,2017,Bearded Vulture
2018,0.063402718,0.018527513,2018,Bearded Vulture
2019,0.06012502,0.017665964,2019,Bearded Vulture
2020,0.047921246,0.014083758,2020,Bearded Vulture
2021,0.055317817,0.015927507,2021,Bearded Vulture
before 2000,0.089202525,0.01116125,1992,Egyptian Vulture
2000-2006,0.076778878,0.009055063,2003,Egyptian Vulture
2007-2010,0.06429064,0.0074299,2009,Egyptian Vulture
2011-2012,0.056290928,0.007215433,2012,Egyptian Vulture
2013,0.049748627,0.006185399,2013,Egyptian Vulture
2014,0.049635331,0.006069935,2014,Egyptian Vulture
2015,0.038059213,0.00456737,2015,Egyptian Vulture
2016,0.034088153,0.004215524,2016,Egyptian Vulture
2017,0.037425511,0.004472516,2017,Egyptian Vulture
2018,0.037927363,0.00450172,2018,Egyptian Vulture
2019,0.030403323,0.003632704,2019,Egyptian Vulture
2020,0.028595392,0.003423781,2020,Egyptian Vulture
2021,0.028081553,0.003319006,2021,Egyptian Vulture
before 2000,0.093028583,0.014513183,1992,Red-headed Vulture
2000-2006,0.048542422,0.007783806,2003,Red-headed Vulture
2007-2010,0.038676095,0.006163051,2009,Red-headed Vulture
2011-2012,0.033428808,0.005618082,2012,Red-headed Vulture
2013,0.028777692,0.004686323,2013,Red-headed Vulture
2014,0.027860523,0.004457354,2014,Red-headed Vulture
2015,0.017251973,0.002774775,2015,Red-headed Vulture
2016,0.014672691,0.00223757,2016,Red-headed Vulture
2017,0.012797081,0.001961667,2017,Red-headed Vulture
2018,0.014299537,0.002210914,2018,Red-headed Vulture
2019,0.014054834,0.002195277,2019,Red-headed Vulture
2020,0.010681519,0.001669456,2020,Red-headed Vulture
2021,0.010280139,0.001544272,2021,Red-headed Vulture
before 2000,0.023388176,0.008209952,1992,Cinereous Vulture
2000-2006,0.018351568,0.00676124,2003,Cinereous Vulture
2007-2010,0.016297513,0.005848372,2009,Cinereous Vulture
2011-2012,0.021803738,0.007614944,2012,Cinereous Vulture
2013,0.018152013,0.006866922,2013,Cinereous Vulture
2014,0.011816291,0.004161774,2014,Cinereous Vulture
2015,0.007317476,0.002403422,2015,Cinereous Vulture
2016,0.008796257,0.003126364,2016,Cinereous Vulture
2017,0.008521095,0.002913999,2017,Cinereous Vulture
2018,0.007722752,0.002635248,2018,Cinereous Vulture
2019,0.007128098,0.002504838,2019,Cinereous Vulture
2020,0.007884909,0.002666383,2020,Cinereous Vulture
2021,0.007827777,0.00264248,2021,Cinereous Vulture
before 2000,0.369785956,0.037413792,1992,White-rumped Vulture
2000-2006,0.074245184,0.009176682,2003,White-rumped Vulture
2007-2010,0.034617344,0.00428544,2009,White-rumped Vulture
2011-2012,0.032384459,0.004045451,2012,White-rumped Vulture
2013,0.028424178,0.003784262,2013,White-rumped Vulture
2014,0.02254295,0.002700858,2014,White-rumped Vulture
2015,0.015308849,0.001840224,2015,White-rumped Vulture
2016,0.011117313,0.001354938,2016,White-rumped Vulture
2017,0.008684965,0.00106964,2017,White-rumped Vulture
2018,0.011390652,0.001404869,2018,White-rumped Vulture
2019,0.011640096,0.001386379,2019,White-rumped Vulture
2020,0.009889509,0.001183476,2020,White-rumped Vulture
2021,0.009970566,0.001201032,2021,White-rumped Vulture
before 2000,0.215546139,0.030240294,1992,Indian Vulture
2000-2006,0.06210818,0.010339622,2003,Indian Vulture
2007-2010,0.056598545,0.009216712,2009,Indian Vulture
2011-2012,0.035177106,0.005449711,2012,Indian Vulture
2013,0.04836703,0.007490051,2013,Indian Vulture
2014,0.03053631,0.00471983,2014,Indian Vulture
2015,0.031943637,0.004881366,2015,Indian Vulture
2016,0.023256121,0.003604248,2016,Indian Vulture
2017,0.018446496,0.002863767,2017,Indian Vulture
2018,0.01833748,0.002851771,2018,Indian Vulture
2019,0.02070654,0.003198427,2019,Indian Vulture
2020,0.012277388,0.0018876,2020,Indian Vulture
2021,0.013639512,0.002114959,2021,Indian Vulture
before 2000,0.036815991,0.008576599,1992,Himalayan Griffon
2000-2006,0.03651658,0.007874044,2003,Himalayan Griffon
2007-2010,0.044914046,0.009998717,2009,Himalayan Griffon
2011-2012,0.048120816,0.010276103,2012,Himalayan Griffon
2013,0.049343954,0.010573875,2013,Himalayan Griffon
2014,0.032908499,0.007266808,2014,Himalayan Griffon
2015,0.031778767,0.007065766,2015,Himalayan Griffon
2016,0.026517295,0.005791839,2016,Himalayan Griffon
2017,0.027805851,0.00597251,2017,Himalayan Griffon
2018,0.028511281,0.006338047,2018,Himalayan Griffon
2019,0.026918745,0.005824829,2019,Himalayan Griffon
2020,0.028056539,0.006149135,2020,Himalayan Griffon
2021,0.027845114,0.006094164,2021,Himalayan Griffon
before 2000,0.044130281,0.01240079,1992,Eurasian Griffon
2000-2006,0.040111651,0.011842241,2003,Eurasian Griffon
2007-2010,0.026460108,0.00757591,2009,Eurasian Griffon
2011-2012,0.022090022,0.006371993,2012,Eurasian Griffon
2013,0.023641979,0.007061543,2013,Eurasian Griffon
2014,0.01660151,0.004582419,2014,Eurasian Griffon
2015,0.016099146,0.004765397,2015,Eurasian Griffon
2016,0.01335122,0.003777139,2016,Eurasian Griffon
2017,0.011050753,0.003175531,2017,Eurasian Griffon
2018,0.011493715,0.003231728,2018,Eurasian Griffon
2019,0.009820667,0.002763349,2019,Eurasian Griffon
2020,0.0114297,0.003210966,2020,Eurasian Griffon
2021,0.010805402,0.003050716,2021,Eurasian Griffon
